"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40464",9,9,6,8,24,6,36,28,15,24,5,21,-0.903200697964924,1.06287343211408,-2.64247175057647,0.0197016607722978,0.999934538134069,-4.46151761643234
"2","GB40468",6,4,6,6,10,3,19,13,11,17,8,23,-1.18726890018429,0.540363318633783,-4.136706045288,0.00107008619146116,0.999934538134069,-4.39461670906943
"3","GB40527",3,6,4,5,6,4,20,9,4,14,6,11,-0.937094195833719,0.128596675386594,-3.1280702798741,0.00764117726915695,0.999934538134069,-4.47003620033633
"4","GB41616",48,65,103,37,64,31,364,116,61,111,88,91,-1.01245659739178,3.61025721243321,-3.0695582580727,0.00857041928171747,0.999934538134069,-4.18945467877812
"5","GB41847",186,132,140,88,154,141,356,227,94,235,90,226,-0.328063612964372,4.61348418743225,-2.43254996330444,0.029469684729917,0.999934538134069,-4.22059380410693
"6","GB41891",34,28,49,15,41,33,135,78,22,78,19,71,-0.75003889604236,2.68773917918911,-2.76208393730223,0.0156260695799535,0.999934538134069,-4.33996094084477
"7","GB42200",35,26,62,20,34,49,208,66,36,66,25,81,-0.824871971940712,2.88688236464027,-2.62053107573571,0.0205539576472248,0.999934538134069,-4.34551394833482
"8","GB42539",24,17,4,14,13,1,25,29,16,66,10,30,-1.38535655244986,1.23065045858309,-2.47485764184665,0.0271861005183023,0.999934538134069,-4.4711978004093
"9","GB42729",35,33,15,12,28,18,15,6,6,36,7,17,0.978825451266762,1.34296358699734,2.7485546668756,0.016042212263744,0.999934538134069,-4.43669655318989
"10","GB42768",63,41,40,17,44,28,28,17,20,60,16,14,0.840021997707194,2.16339174220967,2.54409125645858,0.0238110114792158,0.999934538134069,-4.40900062617842
"11","GB43007",2203,1932,1665,870,1326,1056,7100,2200,1366,3513,2097,1720,-0.722546358470087,8.20511397622306,-2.64512842155469,0.0196008172869058,0.999934538134069,-4.32384840999025
"12","GB43508",1584,713,687,1094,2586,842,1606,856,376,1049,267,995,0.76545455487928,7.11417573242396,2.72856603455254,0.0166769057168517,0.999934538134069,-4.22705191129491
"13","GB43738",672,406,377,380,584,315,2594,1000,487,587,337,721,-0.642206192797173,6.47437073513835,-2.54965047604898,0.0235582357526236,0.999934538134069,-4.21392882076857
"14","GB44090",87,75,79,94,69,111,249,221,66,166,123,149,-0.753776187006083,4.12699397845849,-3.29285950787038,0.00552941584186363,0.999934538134069,-4.06101624566717
"15","GB44117",58,40,85,37,49,37,316,184,49,73,44,75,-0.903114161376274,3.39750200042244,-2.46705855942098,0.0275939026108976,0.999934538134069,-4.33012536703087
"16","GB44333",840,527,685,389,1024,523,2128,1257,517,1025,528,836,-0.447706924400955,6.8849252398603,-2.57853979269419,0.0222857736418204,0.999934538134069,-4.23911916844426
"17","GB44629",21,22,26,14,16,25,66,60,13,39,18,42,-0.707557097183841,2.04589616024027,-2.67141443862907,0.0186296662439362,0.999934538134069,-4.40156896711074
"18","GB45812",49,59,82,49,114,112,321,214,42,125,56,177,-0.753232176876245,3.88311604705816,-2.43833330831525,0.0291470311986083,0.999934538134069,-4.29002067253828
"19","GB46117",6,3,6,6,5,6,29,17,8,8,10,16,-1.16515605697245,0.447530470012644,-3.40326412372141,0.0044522558305671,0.999934538134069,-4.43991522744135
"20","GB46765",3,6,10,0,11,3,14,15,4,24,5,13,-1.3280286809386,0.0600347624093809,-2.46336776209143,0.0277889265790561,0.999934538134069,-4.51221867272771
"21","GB47132",8,4,5,4,6,8,19,6,9,14,9,15,-0.801736540367789,0.387231518959701,-2.59113227287142,0.0217521355894632,0.999934538134069,-4.49298435356939
"22","GB47297",6,4,0,1,15,3,16,11,3,11,5,12,-1.36770513931503,-0.258558654113424,-2.43940915735061,0.02908738328675,0.999934538134069,-4.5198836390931
"23","GB47869",45,22,36,17,33,29,88,71,36,53,20,46,-0.591470985484478,2.53343531133245,-2.64195404706929,0.0197213705858391,0.999934538134069,-4.37006291723536
"24","GB47932",48,44,42,17,18,18,147,77,31,97,20,47,-0.972765687596433,2.64201644109699,-2.76150705324748,0.0156435965184769,0.999934538134069,-4.34527301678902
"25","GB47995",10,7,20,10,10,9,46,27,16,22,8,25,-0.933007797657568,1.24868610345807,-3.12487583650002,0.00768921914680148,0.999934538134069,-4.410235070579
"26","GB48238",101,73,121,54,111,95,341,186,68,156,53,181,-0.561832210450319,4.10055899976195,-2.62626105232038,0.0203279874434705,0.999934538134069,-4.21942323758731
"27","GB48653",5,5,7,4,4,9,27,9,6,14,18,14,-1.10641964529509,0.478910882179377,-3.06349278098534,0.00867294437488931,0.999934538134069,-4.45894549932204
"28","GB48808",14,5,9,9,13,17,3,4,5,4,5,15,1.15159914004664,0.282996630692661,2.57708903438238,0.0223480597932155,0.999934538134069,-4.49712740508515
"29","GB49129",47,45,69,31,41,34,164,98,22,87,38,81,-0.632912245304209,3.07318888042546,-2.47720439628437,0.0270645276611094,0.999934538134069,-4.3538568345378
"30","GB49484",131,99,91,58,161,86,273,222,85,150,85,165,-0.467791240498816,4.23691286233057,-2.79512631029277,0.0146535866542397,0.999934538134069,-4.16027160755298
"31","GB49638",49,34,45,39,51,50,115,66,33,89,46,73,-0.469186592976821,3.06401608430834,-2.9317969286205,0.0112241531210486,0.999934538134069,-4.27525343818624
"32","GB49793",16,11,12,13,18,18,82,46,11,24,14,26,-0.843640218869865,1.64112647581468,-2.6743348845686,0.01852469908014,0.999934538134069,-4.42757963808121
"33","GB50015",222,116,148,129,143,305,161,133,67,141,95,106,0.690352177186145,4.41007217383028,2.88440683320287,0.0123129732364993,0.999934538134069,-4.11016695607997
"34","GB50061",109,46,88,37,132,63,238,161,82,131,66,111,-0.597412853669069,3.8518183027598,-2.77715050738128,0.0151750526042087,0.999934538134069,-4.21466664577661
"35","GB50119",645,370,276,350,671,248,940,601,331,958,618,707,-0.647143817628224,6.29875272949762,-2.82726504618864,0.0137646492477547,0.999934538134069,-4.12288714563216
"36","GB50291",16,14,6,14,13,27,42,29,12,28,17,37,-0.794573410760542,1.5668484896892,-2.58967279935069,0.0218133458038039,0.999934538134069,-4.44046144555342
"37","GB50669",24,20,19,10,18,15,50,66,22,35,13,33,-0.797041448329076,1.88899657742054,-2.98144017876458,0.0101853752897719,0.999934538134069,-4.37814483528114
"38","GB51155",64,28,30,67,60,90,181,149,39,76,101,111,-0.824250135217491,3.4753223403897,-2.46770398603511,0.0275599329043877,0.999934538134069,-4.32292357638883
"39","GB51545",63,70,124,67,128,90,368,237,64,151,68,163,-0.702330791474243,4.12263880001524,-2.70124911715884,0.0175840333441146,0.999934538134069,-4.20068009940762
"40","GB51641",12,16,15,7,8,13,123,51,16,22,9,46,-1.44720791422678,1.58567881612482,-3.2595598888442,0.00590297042488374,0.999934538134069,-4.37851256163103
"41","GB51979",1029,574,899,834,939,551,1864,1468,652,1368,739,1328,-0.44920333837559,7.20098046361349,-2.45007546368128,0.0285022987052607,0.999934538134069,-4.2951251785854
"42","GB52046",41,37,42,31,52,38,161,117,31,61,23,101,-0.710605325440177,3.00012037289584,-2.63255638497694,0.0200824973460859,0.999934538134069,-4.3331930412183
"43","GB52446",224,169,285,140,213,134,781,535,189,275,140,369,-0.672490675513131,5.25049684670378,-2.8676575776622,0.0127221427955678,0.999934538134069,-4.0644012228435
"44","GB53353",13,10,10,10,12,13,37,13,17,28,16,26,-0.78232748358771,1.31058618300637,-3.04049538778292,0.00907284241078303,0.999934538134069,-4.41293617609928
"45","GB53931",285,214,202,135,274,193,748,439,166,410,147,313,-0.474436320332497,5.32552536334898,-2.85774436803581,0.0129705794662121,0.999934538134069,-4.06174478937875
"46","GB54338",171,118,129,99,160,134,202,107,79,123,76,146,0.322567855811204,4.26364629502278,2.55536565851616,0.0233010664621729,0.999934538134069,-4.21330105910765
"47","GB54850",3,2,8,1,8,1,15,16,2,14,2,19,-1.38706572097614,-0.255148294137867,-2.75723186969077,0.0157740855126909,0.999934538134069,-4.50256344758707
"48","GB54922",11,8,3,15,9,11,34,18,12,19,11,18,-0.902055867535067,0.983547832327521,-2.63090742790025,0.0201465201377859,0.999934538134069,-4.46612018539361
"49","GB55241",128,70,136,66,138,121,226,192,72,181,95,194,-0.389542578393731,4.2739082466898,-2.4996596861394,0.0259273158676077,0.999934538134069,-4.2323315226082
"50","GB55527",18,22,33,18,23,21,117,67,14,36,21,44,-0.816205453475709,2.2115913203054,-2.57081817845193,0.0226192292624594,0.999934538134069,-4.40357496319877
