"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40543",268,389,196,137,150,384,243,314,169,448,365,241,-0.29968481740968,5.3135878574327,-2.33405573608524,0.035558051208241,0.999792401137062,-4.22531551569437
"2","GB40837",74,107,32,61,42,82,51,14,14,45,37,55,0.933754728310528,2.7766421241028,2.65072198252502,0.0194221257224634,0.999792401137062,-4.35216409442378
"3","GB41228",130,267,144,71,75,123,143,69,55,52,115,25,0.905835155426586,3.8006508975665,2.71463856631439,0.0171636610313601,0.999792401137062,-4.23867593239121
"4","GB41767",124,129,154,40,103,165,114,211,107,254,246,347,-0.877778601394851,4.50169165763906,-3.20441751252969,0.00659556458427315,0.999792401137062,-4.02781254115129
"5","GB42037",14,25,10,8,10,15,7,8,4,20,10,5,0.60530636842324,0.70071139621474,2.25669055068825,0.0411169037762179,0.999792401137062,-4.50616622480802
"6","GB42311",244,209,34,122,58,146,79,43,47,100,51,33,1.0122749028632,3.59686345522247,2.41188453040562,0.0306900127570732,0.999792401137062,-4.32622396867261
"7","GB42925",283,381,218,126,140,321,229,307,179,434,338,263,-0.331702994448129,5.28509182657986,-2.90634905481265,0.0118212496051466,0.999792401137062,-4.04729092284291
"8","GB43020",9,6,2,3,2,12,9,14,5,7,25,9,-1.07277264178246,0.176189587280962,-2.59885700696122,0.0214644744984006,0.999792401137062,-4.49917770591883
"9","GB43298",29,40,19,15,7,6,27,21,21,40,34,37,-0.876714340079019,1.75489676702337,-2.32545545930588,0.03613890173363,0.999792401137062,-4.45947017664391
"10","GB43693",32,46,20,22,13,25,7,46,8,11,18,12,0.782342522759513,1.53557377204955,2.24686075319441,0.0418792386360355,0.999792401137062,-4.47763849910493
"11","GB43892",3892,14642,4844,4938,7469,3391,1175,2450,1368,3068,4120,3490,1.28872584700281,9.14887867139344,3.56758551138924,0.00323794416618751,0.999792401137062,-4.25649091934701
"12","GB44065",61,83,39,29,69,81,65,119,82,104,118,59,-0.665852085690932,3.45417507719214,-2.89834658082986,0.0120073102932407,0.999792401137062,-4.23783637111354
"13","GB44120",593,403,238,1780,547,418,356,76,241,334,160,203,1.52317061003083,5.67347496018977,2.53236622479934,0.0243883270863886,0.999792401137062,-4.18876297608508
"14","GB44256",8,5,1,1,9,9,7,12,7,15,8,6,-1.02478986014624,0.00755563957791267,-2.22381723324434,0.0437187855395252,0.999792401137062,-4.52655798450324
"15","GB44358",70,60,36,33,43,75,66,84,33,89,80,68,-0.470984561652035,3.17574577589277,-2.51259230749965,0.0253295354449547,0.999792401137062,-4.33951425310716
"16","GB44362",62,124,38,26,55,72,85,86,40,82,112,81,-0.473779685246321,3.35785311745019,-2.28475716803295,0.0390115814788627,0.999792401137062,-4.36802557452848
"17","GB44363",345,497,214,143,220,422,389,407,308,437,424,324,-0.474575858556345,5.65638597977256,-2.98630539767659,0.0101115456657171,0.999792401137062,-4.03235809420864
"18","GB44631",23,32,27,15,16,31,16,25,10,19,15,13,0.503063566101178,1.59300554857876,2.31653221561884,0.0367510639532642,0.999792401137062,-4.46696585600863
