"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB43310",681,785,310,1092,1375,502,175,474,126,145,313,590,1.45015589381396,6.04087139818046,5.47793911421347,9.07329188678746e-05,0.913226828405158,-3.56778655701903
"2","GB40064",193,332,97,384,348,112,149,183,22,66,106,142,1.17779407333681,4.44041037911898,3.38053013770436,0.00465753789658218,0.998918812017999,-3.99825948342926
"3","GB40158",84,66,48,98,167,34,35,60,16,31,67,58,0.869250665731447,3.07419916064749,2.96853191601315,0.0104495535268528,0.998918812017999,-4.26612841728213
"4","GB40525",9,5,1,3,13,12,10,22,7,10,16,16,-1.05558477053427,0.454070329913185,-2.92212353023668,0.0114421808195533,0.998918812017999,-4.46752851911131
"5","GB40611",13,14,7,17,27,4,5,7,0,3,1,12,1.89297942106146,-0.0265767010367865,3.25166263535683,0.00599779297235168,0.998918812017999,-4.4660366438575
"6","GB40696",1752,3876,2367,7526,1313,1978,5572,16311,3674,3525,21742,8597,-1.46916464865461,9.44274046019372,-3.06793661543723,0.00860092028324839,0.998918812017999,-4.32562052937356
"7","GB41133",146,158,71,166,270,97,75,150,38,52,126,143,0.67940509809736,4.08403121647927,3.39884668721234,0.00449316720947155,0.998918812017999,-4.03180781000808
"8","GB41760",4483,5442,1086,11243,22181,3181,714,2761,724,999,3735,1760,1.83363236225837,8.73836196423383,3.87161641842825,0.00178543916902111,0.998918812017999,-4.1751571112044
"9","GB41839",28,30,15,27,40,37,29,83,28,38,78,52,-0.715152243154047,2.51008326401839,-3.46439498580308,0.00395129046373706,0.998918812017999,-4.25714662677353
"10","GB42201",9,15,4,6,12,5,14,22,7,10,29,16,-0.876345432585598,0.785842713861539,-3.13829419140739,0.00749237624598532,0.998918812017999,-4.43498730843163
"11","GB42230",544,512,226,533,703,535,292,630,237,271,411,425,0.440947995372565,6.00510965465368,3.28520552919119,0.00561561347195926,0.998918812017999,-3.96210981161889
"12","GB43427",37,33,7,22,35,57,54,63,46,40,80,65,-0.950831534848523,2.61394694870687,-3.20945067659903,0.0065159156641755,0.998918812017999,-4.28162306271381
"13","GB43955",17,6,2,7,6,19,12,23,12,12,26,22,-1.06876068270596,0.869047605868977,-2.90819530378156,0.0117578345076966,0.998918812017999,-4.44855234946103
"14","GB44058",246,254,155,247,297,235,230,193,78,163,160,190,0.580390786214515,4.91135534640718,2.90335610812543,0.011869500198093,0.998918812017999,-4.05806255529213
"15","GB44122",376,686,229,869,999,365,320,466,132,260,443,323,0.772179603797096,5.92819799497312,2.99614509506036,0.00989981136549394,0.998918812017999,-4.04378211617009
"16","GB44368",294,191,88,178,194,174,214,427,230,180,331,234,-0.518314438066406,5.04458985951903,-3.00985134863316,0.00963766002028027,0.998918812017999,-4.019230604692
