"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40629",309,151,301,253,263,61,88,83,74,112,170,100,0.763074491559382,4.44584962324618,3.35383055126729,0.00494786738039104,0.999307099711041,-3.98366113594036
"2","GB40908",208,161,131,102,118,75,66,47,56,69,71,57,0.813060607574209,3.76105978398342,3.01945965911671,0.0095170146315356,0.999307099711041,-4.16589381552122
"3","GB41214",31,23,57,23,33,23,7,16,15,15,25,14,0.766977042166763,1.71841386072688,3.29327143970966,0.00557031341992417,0.999307099711041,-4.35575633860368
"4","GB41352",23,14,28,26,18,11,5,9,4,19,14,10,0.746623147649827,1.06646977862155,2.96464187611515,0.0105920775793001,0.999307099711041,-4.43192567612842
"5","GB41521",501,516,534,558,397,290,269,256,231,276,288,179,0.660336141789758,5.69740670429401,3.00840988328817,0.00972465111637485,0.999307099711041,-4.01389756232966
"6","GB41728",51,40,75,54,50,14,27,31,10,29,17,13,0.927281840951132,2.17876330302255,3.10017460483403,0.00812796130420595,0.999307099711041,-4.33673012783255
"7","GB42206",48,40,56,42,51,17,18,12,9,37,39,13,0.827589436931091,2.08767476944869,3.04735896583254,0.00901210521981581,0.999307099711041,-4.35104530883548
"8","GB42215",91,59,133,95,62,35,35,38,32,50,51,39,0.632467545078672,3.07748541106416,3.26522733815427,0.00588458453130087,0.999307099711041,-4.21171187444009
"9","GB43007",2203,1932,7100,2200,3513,2097,1366,1665,870,1720,1326,1056,0.831253223629322,8.20511397622306,3.32529226237209,0.00523198820347647,0.999307099711041,-4.19261927399936
"10","GB43805",1640,1229,1631,1286,1772,730,748,738,378,1054,1135,472,0.670458242755564,7.22030418493635,2.98408931334596,0.0101975905816269,0.999307099711041,-4.16307334545732
"11","GB44005",162,141,361,250,269,106,125,240,187,421,292,269,-0.525255955982251,5.07171561009079,-3.27880295150915,0.00573029425905164,0.999307099711041,-3.91731545810881
"12","GB44671",140,75,99,78,112,52,100,83,79,162,174,107,-0.604295735092161,3.94979758303871,-3.11147398726991,0.00795030509252353,0.999307099711041,-4.10526239347903
