"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40119",292,180,359,191,341,326,397,255,134,133,235,176,0.4587939098725,5.19261589314533,3.15378713108019,0.00729042264398281,0.820067705003496,-3.94658472480844
"2","GB40253",3710,2195,3186,1687,1709,3366,3607,2370,656,1128,2102,1058,0.780747146135146,8.25525889468978,3.59210758329602,0.00309026114263642,0.820067705003496,-4.13577946102809
"3","GB40617",48,29,32,22,33,57,24,46,6,13,36,14,0.884497794128644,2.02030120064937,3.15538891160606,0.00726757334792058,0.820067705003496,-4.33823571542149
"4","GB41235",11,13,16,7,7,15,8,4,1,3,10,4,1.33610965151269,0.165085475401925,4.03769937012382,0.00130246288319093,0.820067705003496,-4.41852419362954
"5","GB41732",776,313,839,429,820,529,902,436,231,279,367,179,0.827495377732713,6.11156685098107,3.14757629832575,0.00737969854986596,0.820067705003496,-3.99448703357737
"6","GB42190",148,123,120,73,126,198,256,210,118,137,195,212,-0.453565934170801,4.55203000546275,-3.12751751848952,0.00767553099328201,0.820067705003496,-4.00620588027638
"7","GB43237",200,134,174,94,148,276,323,328,146,144,271,216,-0.412353139819444,4.88683698068286,-3.27478643272067,0.00575102112686796,0.820067705003496,-3.92757446290798
"8","GB44495",23,14,13,7,11,15,10,6,8,5,10,5,0.959227097315444,0.643480315766033,3.39478186391431,0.00454586362527216,0.820067705003496,-4.42384470774807
"9","GB44502",1571,2379,2190,1229,1004,1352,1873,1055,295,525,1690,343,1.18497042407128,7.37953287231675,3.44043280806534,0.00415710605335052,0.820067705003496,-4.07206537751572
"10","GB44536",202,187,244,69,115,242,237,99,103,59,101,87,0.727560364792178,4.329188633238,3.12402700905154,0.00772820269111177,0.820067705003496,-4.03556809255609
"11","GB44718",125,81,101,60,120,143,237,189,99,81,164,129,-0.414233532134666,4.20687221992341,-3.29036314020092,0.00557806885845253,0.820067705003496,-4.01237329689873
"12","GB44765",70,61,67,33,61,106,115,151,59,67,122,104,-0.547293340583278,3.60758376359089,-3.16498545413634,0.00713216608383995,0.820067705003496,-4.14217703550777
"13","GB44803",270,169,221,139,226,364,474,388,203,283,390,405,-0.597153448103605,5.4160142870554,-3.97191552051486,0.00147833418159236,0.820067705003496,-3.71926688400314
"14","GB45193",505,295,519,295,548,461,707,274,144,145,377,176,0.801544489197471,5.666272862898,3.91186500533439,0.0016600401890373,0.820067705003496,-3.75280993708976
"15","GB45335",545,618,550,720,539,342,570,416,209,200,268,206,1.02922493358186,5.92587597329468,3.68086630135348,0.00259908444842058,0.820067705003496,-3.8384208726006
"16","GB45336",146,181,180,157,150,78,78,79,53,44,87,49,1.21675026668648,3.88378457106225,3.86502917051999,0.00181747472398597,0.820067705003496,-3.96127733992523
"17","GB45693",58,35,49,20,34,59,103,73,36,46,74,51,-0.506535141253964,2.93470261164906,-3.32071324603816,0.00525590738698885,0.820067705003496,-4.21144679622148
"18","GB46180",93,52,90,47,82,94,78,74,28,37,59,52,0.573458876438699,3.26018535853092,3.93570046412213,0.00158533276890956,0.820067705003496,-4.06237223020775
"19","GB46186",12,8,6,4,9,11,42,21,10,9,17,11,-0.939672538211502,0.848347979676746,-3.46480712391197,0.00396342543998017,0.820067705003496,-4.40646942101975
"20","GB46281",11,16,29,22,18,12,9,2,2,5,12,2,1.89623958478795,0.482584859914676,3.94766902050775,0.00154912308984594,0.820067705003496,-4.40695491153428
"21","GB46294",46,29,32,44,36,42,24,14,1,3,16,46,1.73462370209871,1.63716139399319,3.5400704945254,0.0034209088560955,0.820067705003496,-4.34665856846661
"22","GB46344",240,146,181,105,169,268,387,332,207,166,265,216,-0.44404504037476,5.02867931094594,-3.43863848734902,0.00417173508784656,0.820067705003496,-3.87068462467531
"23","GB46557",143,11,218,132,536,328,0,10,1,2,5,49,5.33659132572047,1.91693700131789,3.69355732877717,0.00253563100381249,0.820067705003496,-4.37816121547237
"24","GB46558",91,299,295,99,349,186,11,51,32,323,29,35,2.48765427534225,3.82155256170835,3.53399001962362,0.00346180863580137,0.820067705003496,-4.07819786325424
"25","GB47029",682,382,761,520,763,676,670,544,196,149,651,230,0.934110005022316,6.14697136716422,3.91591280558987,0.00164710440028856,0.820067705003496,-3.80245488549086
"26","GB47081",777,597,801,421,749,690,940,1018,203,223,543,327,0.668799226752816,6.3862498527106,3.12871804358062,0.00765749779341706,0.820067705003496,-4.0247004003446
"27","GB47482",119,98,177,56,206,199,366,314,139,165,212,254,-0.732338795208025,4.73795898654868,-3.66359172365331,0.0026880520238401,0.820067705003496,-3.84929447406879
"28","GB47694",875,769,948,672,988,930,1160,876,414,434,720,344,0.606624709801606,6.78913735638721,3.4111573561873,0.00440237378970985,0.820067705003496,-4.00366367223442
"29","GB48299",200,130,179,104,144,268,368,278,132,146,278,235,-0.405752190489178,4.89044174855194,-3.31235524198213,0.00534271834471971,0.820067705003496,-3.91612945044332
"30","GB48983",689,573,611,342,448,478,742,548,217,224,556,250,0.529716389364805,6.07989703594699,3.16412425957698,0.00714421414518295,0.820067705003496,-3.98091492126109
"31","GB49080",147,122,131,85,160,157,184,134,64,65,128,80,0.406762987098324,4.15683384014779,3.20221538638984,0.00663024385770619,0.820067705003496,-4.03779369684652
"32","GB49321",7911,5396,15395,6668,14085,7685,13134,5718,2065,2068,8820,1566,1.2535441830767,9.85317734081488,3.21147600617476,0.00651096933915471,0.820067705003496,-4.31209914245552
"33","GB49890",412,395,443,253,520,651,1582,583,485,529,724,2079,-0.937912756886059,6.5379420767803,-3.1555282879384,0.00726558853115829,0.820067705003496,-4.03730100665344
"34","GB50124",455,256,311,275,214,798,852,461,637,622,666,1122,-1.03742531304462,6.24868947556994,-3.24631347145464,0.00608115552761684,0.820067705003496,-3.98389271407693
"35","GB50250",158,195,122,74,78,125,94,73,62,61,104,59,0.770650157811283,3.85766516501244,3.20160960344018,0.00663812178007506,0.820067705003496,-4.09142926004077
"36","GB50388",47,38,55,25,33,44,60,36,8,9,33,16,0.826424850607529,2.17317703128201,3.24239292238949,0.00612807394293551,0.820067705003496,-4.31343250858966
"37","GB51797",24,16,20,15,12,36,112,42,23,38,30,28,-0.955550375610718,2.107580402878,-3.12617063195528,0.0076958130138113,0.820067705003496,-4.33508566050402
"38","GB51814",772,754,2514,1229,1082,1066,807,1425,169,210,899,178,1.53377795192265,6.75665874682486,3.46555990435787,0.00395759070717573,0.820067705003496,-3.99843517021201
"39","GB51843",668,695,652,278,662,962,893,311,126,443,387,237,0.923910613502319,6.13423055988575,3.19371689468056,0.00674162067755388,0.820067705003496,-3.9868071584419
"40","GB52438",1621,1321,1281,631,1030,1155,1375,1022,625,612,876,603,0.516878630752942,7.2085746564039,3.21796291962781,0.00642869794158048,0.820067705003496,-4.09806180193002
"41","GB52588",55,45,69,24,65,93,132,96,62,87,91,119,-0.675441668897444,3.48085862085318,-3.15948457366759,0.00720947295972509,0.820067705003496,-4.16482148004131
"42","GB52819",224,194,312,157,227,518,737,410,273,297,464,355,-0.617072340997989,5.61503494128462,-3.48457145913919,0.00381306985649421,0.820067705003496,-3.85683422265715
"43","GB53288",81,26,118,51,83,69,59,34,20,28,46,24,1.02955392548274,2.8483706316761,3.52451216945805,0.00352654771495524,0.820067705003496,-4.19635190663514
"44","GB54250",100,46,48,29,68,44,31,44,25,24,48,15,0.916209182647527,2.60158721140314,3.13488428891691,0.00756553647998891,0.820067705003496,-4.2821092499212
"45","GB54551",129,119,106,63,88,56,65,52,46,41,55,28,1.00893042954557,3.32469029110705,3.56054709195777,0.00328673053593276,0.820067705003496,-4.11563446954872
"46","GB54692",275,323,422,271,571,369,480,358,120,160,328,166,0.659447011169979,5.49917601567229,3.12370912900745,0.00773301732519928,0.820067705003496,-3.96091952397483
"47","GB54988",118,72,62,38,56,109,157,33,8,22,36,27,1.11990813965268,2.87418696175534,3.12406250988688,0.00772766517809536,0.820067705003496,-4.25521570586383
"48","GB55000",699,635,1105,587,1003,428,1390,421,217,204,353,176,1.16439831297188,6.24948219974236,3.46570919057386,0.00395643463221296,0.820067705003496,-3.93142998619964
"49","GB55307",948,613,913,409,852,765,728,517,305,256,726,418,0.720314292463057,6.47111851539684,4.93059361313681,0.000243881088813326,0.820067705003496,-3.64797500974766
"50","GB55393",1030,881,1251,921,1260,1346,1890,877,490,463,905,382,0.729127213672006,7.09679111717005,3.31856605746578,0.00527807338188681,0.820067705003496,-4.06378016421843
