"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40166",156,429,280,347,62,162,47,53,109,57,66,130,1.22772414631449,4.21769871351376,3.41130708023614,0.00440149595635239,0.656317334113241,-3.94401286627438
"2","GB41064",52,145,50,84,20,60,9,2,18,20,13,36,1.92383008518409,2.08287141642252,4.21376736812877,0.000929876249910771,0.656317334113241,-4.20572633442921
"3","GB41065",1031,2305,840,1505,380,906,275,233,456,391,351,671,1.06876189350907,6.5663205926259,3.48949264989136,0.0037769092384678,0.656317334113241,-3.89708636479441
"4","GB41240",431,497,629,375,241,323,141,184,343,162,289,175,0.671260544337909,5.46396696254494,3.41460978262546,0.00437311948057062,0.656317334113241,-3.79044657912573
"5","GB41306",2510,5721,3834,1411,871,2486,1020,922,1639,593,1149,861,0.894983181808078,7.8769495921195,3.46606518815889,0.00395406464195172,0.656317334113241,-4.07764792994207
"6","GB41809",175,183,128,82,101,154,177,143,254,107,329,137,-0.744734087910127,4.56714045148148,-4.27151000278221,0.000833089511670137,0.656317334113241,-3.60216996755703
"7","GB41810",201,230,141,139,146,183,210,143,309,125,260,159,-0.490457765239269,4.80293027048184,-3.47903890159695,0.00385494849193107,0.656317334113241,-3.77666859609226
"8","GB42148",13,26,25,19,8,20,5,1,8,8,10,8,1.20588583113207,0.688583947105402,3.4882677022852,0.0037859706836056,0.656317334113241,-4.39695404680137
"9","GB42203",271,425,317,295,151,342,161,108,276,128,242,182,0.415994554537783,5.1103447755004,3.64368710069011,0.0027947086233245,0.656317334113241,-3.71199243704305
"10","GB42205",252,237,164,155,141,245,196,164,314,170,308,220,-0.501372218125589,5.00181392953516,-3.82749176972671,0.00195483029136401,0.656317334113241,-3.64710378318271
"11","GB43052",2836,8495,6161,3854,1447,4580,1303,921,2867,691,1750,1313,1.25181253048191,8.46754978443122,4.87534597213776,0.000269842985007937,0.656317334113241,-3.94901316232602
"12","GB43167",66,104,73,51,33,64,22,14,50,26,51,19,0.852146468535843,2.67602138302068,4.1654977742122,0.00101961613999535,0.656317334113241,-4.08976475634198
"13","GB43497",34,84,36,35,21,25,12,11,19,9,21,17,0.997638934905113,1.82351818782092,3.92115235923361,0.0016307249510553,0.656317334113241,-4.24838210321028
"14","GB43715",284,819,371,327,129,405,123,120,279,142,208,118,0.80014576987535,5.15145864818949,3.6216659264828,0.00291735280940305,0.656317334113241,-3.73912496816858
"15","GB44024",2490,4887,2347,6263,1462,5401,137,322,338,714,619,382,2.83717706829518,7.42607562363932,5.60733014226967,7.31987398441655e-05,0.656317334113241,-3.7212674682984
"16","GB44300",344,351,266,261,224,369,506,332,353,235,534,363,-0.647255737217691,5.68894128090583,-3.55440154562062,0.00332677715435619,0.656317334113241,-3.73292134599542
"17","GB44613",44,66,48,42,22,39,22,18,34,12,31,22,0.596711732988526,2.24475254613234,3.37080632083618,0.00476490848900647,0.656317334113241,-4.25440518408524
"18","GB45220",259,479,225,297,112,287,110,82,271,103,171,132,0.606456135142867,4.83521641019896,3.41557238829034,0.00436488356352952,0.656317334113241,-3.81744926753996
"19","GB45444",66,70,51,39,44,71,69,51,81,57,101,64,-0.611741617647455,3.26459997872029,-3.69178516443534,0.00254468454494224,0.656317334113241,-4.04256491801059
"20","GB45796",2311,1361,2885,144,908,251,8389,5677,5928,11287,8904,706,-3.0257222916712,8.31844200518735,-3.38251369785512,0.00465686420660476,0.656317334113241,-4.15660332242329
"21","GB45933",99,54,75,47,62,94,97,96,118,65,206,87,-0.939961890540204,3.72354296854272,-3.55167241202469,0.00334456447163285,0.656317334113241,-3.97832162315878
"22","GB46164",21,65,40,35,14,43,9,8,22,10,21,5,1.23170883166398,1.58614362939122,3.85340179893325,0.00185909838489658,0.656317334113241,-4.28681810027608
"23","GB46165",104,178,142,124,61,138,67,37,124,23,69,38,0.849644920090638,3.60353547743977,3.90552861207998,0.00168071507669916,0.656317334113241,-3.94333698385849
"24","GB46223",5692,5548,5421,3894,2730,2225,1402,1195,2258,950,2278,444,1.38659797583051,8.42652761855518,3.81061147833397,0.00201988586482502,0.656317334113241,-4.0873922910542
"25","GB46535",23,36,40,27,20,35,75,36,74,34,60,26,-0.989723391944953,2.53782376286006,-3.8534888228147,0.00185878502930132,0.656317334113241,-4.14664315282299
"26","GB48333",318,279,186,189,198,257,257,172,422,196,452,256,-0.548778538108918,5.28960698778575,-3.57469583631048,0.00319747196100588,0.656317334113241,-3.71130853229823
"27","GB48433",19,29,22,11,15,20,18,18,46,25,41,22,-0.816891285320259,1.80590408196479,-3.62451425464516,0.00290118736728919,0.656317334113241,-4.27240568917999
"28","GB48471",38,46,45,33,19,30,33,38,63,36,70,36,-0.675333086430745,2.59291554690966,-3.47091952467655,0.00391668137006984,0.656317334113241,-4.19074482217091
"29","GB48781",249,231,200,161,186,288,266,198,338,171,535,218,-0.621943343346338,5.2122187815413,-3.41263142954541,0.00439009510521341,0.656317334113241,-3.76741177153416
"30","GB49417",180,140,97,106,97,152,129,94,242,103,217,138,-0.548681936414331,4.38196386054149,-3.37564699879586,0.00471993304259468,0.656317334113241,-3.87835671271987
"31","GB49875",836,2675,348,1605,451,920,171,145,874,122,496,127,1.60461495812332,6.14972044420042,3.6169368137554,0.00294439417880975,0.656317334113241,-3.83693207191266
"32","GB49963",2939,5432,1900,5071,721,3044,225,842,850,509,673,359,1.96013268594295,7.5016851836002,4.23333459323078,0.000895846460991905,0.656317334113241,-3.89626380499078
"33","GB50655",207,556,277,356,94,190,71,134,101,72,124,63,1.18381173824468,4.52089329202459,3.80788600148945,0.00203059447769396,0.656317334113241,-3.78527367549914
"34","GB51066",40,54,41,28,27,49,38,28,75,33,77,44,-0.571097106062617,2.7134137803007,-3.54393491602467,0.00339551835451324,0.656317334113241,-4.16179454837883
"35","GB51371",228,402,208,185,126,210,112,69,163,119,127,129,0.588608815350436,4.60874156948323,3.94578782595213,0.00155496336107535,0.656317334113241,-3.69531931789325
"36","GB51479",363,873,499,361,237,580,231,136,425,160,370,262,0.545929751577078,5.67220289378827,3.67219197933034,0.00264367514824815,0.656317334113241,-3.71411167004468
"37","GB51652",996,4687,2811,2014,541,2153,522,343,919,293,723,472,1.47258237967171,7.19154976353607,5.15307731435913,0.000163102938897161,0.656317334113241,-3.68337751248486
"38","GB51746",365,318,279,228,193,401,441,313,390,245,556,277,-0.617342821591126,5.63160549226717,-3.46447964981213,0.00396635262616632,0.656317334113241,-3.75755374705387
"39","GB52106",32,164,96,71,23,44,18,16,13,16,21,32,1.42404098525862,2.36224840447015,3.36113516193022,0.00485605802554676,0.656317334113241,-4.25174209046945
"40","GB52325",114,248,244,208,71,178,81,56,114,40,63,70,0.98514026105672,4.01900046180085,3.94989884592883,0.00154267505118823,0.656317334113241,-3.84348435760723
"41","GB53193",17,31,23,26,26,33,62,34,53,24,43,32,-0.949317451108699,2.31309464237402,-3.653702633803,0.00274066930090408,0.656317334113241,-4.20540901210311
"42","GB53722",132,123,130,105,100,137,202,111,167,87,211,156,-0.642408329342206,4.37468804139778,-3.51413275878944,0.0035992110558752,0.656317334113241,-3.84145360614451
"43","GB53732",1024,1633,705,1383,202,646,64,231,229,135,261,74,2.10824407142961,5.69066970694557,4.78843145048303,0.00031653388140236,0.656317334113241,-3.58232011978368
"44","GB54280",160,183,130,142,112,152,175,120,306,94,274,144,-0.57421904818133,4.6032736392629,-3.84967296213613,0.00187257586557032,0.656317334113241,-3.69961925375559
"45","GB54387",147,232,155,152,138,216,162,117,261,132,287,241,-0.482964418712052,4.79449521953291,-3.42521565672181,0.00428323351247667,0.656317334113241,-3.79473162344401
"46","GB54462",50,58,67,56,41,70,65,51,113,50,82,71,-0.63471519538539,3.27910796094019,-3.66664070243583,0.00267242557618058,0.656317334113241,-4.04427114303113
"47","GB54469",328,227,223,206,194,325,451,358,333,199,546,278,-0.804506810641722,5.48781740655936,-3.42859231956118,0.00425500792893349,0.656317334113241,-3.76582745865158
"48","GB55211",265,917,339,325,457,122,596,2602,1656,2124,1549,491,-2.3006511378931,6.66266352018916,-4.0541180845912,0.00126218230728069,0.656317334113241,-3.79052729623493
"49","GB55662",71,58,40,28,45,59,62,43,99,47,109,59,-0.79099948047107,3.13072152043001,-3.91781376121917,0.00164127820298958,0.656317334113241,-4.03087566241904
"50","GB55814",84,50,61,88,47,68,16,26,44,8,33,16,1.22410363247534,2.52177914647084,3.66511332413888,0.00268039144017219,0.656317334113241,-4.18910126016383
