"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40270",81,70,99,75,85,147,99,66,106,161,123,154,-0.50770914957388,3.77029124847822,-2.68236420773443,0.0183475651775912,0.987239360090364,-4.23756780757591
"2","GB40969",336,193,217,127,60,314,412,148,312,382,462,444,-1.05833235591674,5.05504408328765,-3.81663595964445,0.00201371071215609,0.987239360090364,-3.86052539191537
"3","GB41115",36,23,64,17,20,53,20,6,10,18,27,27,0.796934592256608,1.62352914815105,2.84195635678605,0.0134687240775198,0.987239360090364,-4.39908050406516
"4","GB41290",224,127,275,159,163,255,186,79,148,106,148,163,0.365960310493191,4.43557559407401,2.66800726434419,0.0188628442224201,0.987239360090364,-4.1799509590159
"5","GB42410",1346,223,1617,359,173,569,1357,509,5212,371,3535,3381,-1.80701209043367,6.91771630899597,-3.03357959428849,0.00927197336953566,0.987239360090364,-4.1554515187659
"6","GB42623",5,21,8,2,2,4,10,4,37,7,21,26,-1.59418205799142,0.242916874254073,-2.8921686734427,0.0122156462750904,0.987239360090364,-4.46609582606119
"7","GB42745",8,3,9,2,6,9,8,5,13,20,11,10,-0.987629512035882,0.105348259531655,-2.69694477935572,0.0178382893790589,0.987239360090364,-4.48419486290103
"8","GB42787",585,478,773,631,402,729,524,282,341,333,384,612,0.397474932993168,6.02107731233344,2.74885146357057,0.0161347062034684,0.987239360090364,-4.15381515877983
"9","GB43363",9,10,25,8,11,17,12,3,5,1,8,6,1.12253022287328,0.134367587389976,2.86961279753025,0.0127636792925812,0.987239360090364,-4.47151476052417
"10","GB43440",32,28,54,40,22,70,54,23,66,44,55,89,-0.598726191413189,2.58355353798092,-3.12621025722778,0.00773692194722341,0.987239360090364,-4.28337297192415
"11","GB43927",24,10,41,10,25,19,3,1,5,13,12,22,1.27303256874984,0.645873556432388,2.62229807180379,0.0205987704850743,0.987239360090364,-4.47152426693038
"12","GB44043",50,11,8,15,1,11,17,35,30,24,52,40,-1.7128293884154,1.29053792096283,-3.02754607449247,0.00938185059715112,0.987239360090364,-4.40594827293751
"13","GB44229",25,17,24,10,8,18,13,2,8,9,8,10,0.839745189319488,0.606130267842909,2.70760561886276,0.017474664684684,0.987239360090364,-4.46529935344764
"14","GB44548",447,169,289,59,353,142,227,1169,555,233,840,579,-1.55989016403574,5.42329349157315,-2.66043432033141,0.0191402833193647,0.987239360090364,-4.16940556544743
"15","GB44987",207,173,268,170,118,221,135,91,68,105,170,146,0.560880160314674,4.2999468186399,2.88303355609828,0.0124347511233615,0.987239360090364,-4.13869749552794
"16","GB45096",67,47,58,49,38,62,44,19,24,24,32,52,0.573247907806918,2.44850476706723,2.83243576710303,0.0137201763491591,0.987239360090364,-4.33913637617828
"17","GB45212",157,130,284,101,115,238,160,72,84,84,118,99,0.540027847329259,4.08364331305545,2.79936810152146,0.0146298465162802,0.987239360090364,-4.18107389607857
"18","GB45688",684,747,774,702,1070,414,535,268,317,220,352,434,0.949340871437314,6.04224961381892,2.99865882578241,0.00992605975885297,0.987239360090364,-4.09549154461667
"19","GB45831",353,234,551,318,247,650,368,222,605,608,488,731,-0.53802263990484,5.79960000216436,-2.96500962631071,0.0105994763735504,0.987239360090364,-4.08003856337643
"20","GB45938",14,5,10,9,4,13,10,29,34,18,14,22,-1.25846842542567,0.841763967104108,-3.09937251639538,0.00815363043051094,0.987239360090364,-4.42353777201329
"21","GB46692",34,26,46,26,22,44,22,11,22,14,21,22,0.634976016288922,1.71920023873631,3.66056620474001,0.0027254947717088,0.987239360090364,-4.30702840893366
"22","GB46702",8,6,15,10,33,21,22,7,37,26,92,47,-1.40756426960581,1.4466179424344,-2.96698555729731,0.0105587128808918,0.987239360090364,-4.39851333650517
"23","GB47339",158,122,227,169,150,199,122,58,105,101,114,188,0.43352889834094,4.18505776765348,3.0409841405733,0.00913887066887264,0.987239360090364,-4.11049992406292
"24","GB47424",23,33,40,20,17,38,18,9,17,15,19,18,0.613490631913037,1.50214921365207,2.86710842107124,0.0128259996440964,0.987239360090364,-4.40324914887165
"25","GB47486",40,35,63,54,28,74,60,23,71,61,81,105,-0.588698582753234,2.85167625901873,-2.98719570940837,0.010150575749508,0.987239360090364,-4.27760588575147
"26","GB47504",165,106,163,135,125,213,211,94,189,208,171,228,-0.441382799665994,4.44509024027461,-2.97181023636734,0.0104598296512139,0.987239360090364,-4.0957539453806
"27","GB48114",57,36,133,47,21,61,56,11,24,4,33,24,1.21506711272983,2.09331211451152,2.75715768859787,0.0158772654007785,0.987239360090364,-4.38037936281689
"28","GB48191",140,114,175,93,89,172,146,92,155,144,146,184,-0.330362957330693,4.17250949259531,-2.63316872371826,0.0201723879226975,0.987239360090364,-4.20839937595834
"29","GB48738",19,18,25,30,5,15,138,13,70,14,40,42,-1.40613024877114,1.78358119278854,-2.73049821132857,0.0167180863766521,0.987239360090364,-4.40274017414529
"30","GB49899",174,138,260,180,108,177,178,66,124,27,93,92,0.825727972272767,3.99547265495328,2.66422797543506,0.0190008083620937,0.987239360090364,-4.22798112913465
"31","GB49909",16,10,18,14,17,29,13,4,9,7,13,10,0.69427192021319,0.751569389370999,2.70843783296341,0.0174465850935958,0.987239360090364,-4.4586620494161
"32","GB49996",353,224,506,240,251,483,319,145,207,157,253,316,0.376204350400126,5.177565670997,2.66674527223262,0.0189088049761778,0.987239360090364,-4.14911941290413
"33","GB50486",24,16,40,18,21,30,19,6,13,12,12,17,0.725811157924171,1.24992161879706,3.45497140190917,0.00406850145646923,0.987239360090364,-4.36627975594506
"34","GB50831",124,74,137,113,63,161,98,91,355,161,232,251,-0.892411475733301,4.20761301776711,-3.32248868476913,0.00527068633985805,0.987239360090364,-4.04351493799709
"35","GB51799",45,53,327,178,200,145,49,14,87,11,73,48,1.55300253689965,3.20452898268236,2.82808780565661,0.0138365397553108,0.987239360090364,-4.28246360036445
"36","GB51814",772,754,807,1082,454,631,2514,1229,2388,630,789,1402,-1.01336091378773,7.03813938641479,-2.8013272578356,0.0145743411840371,0.987239360090364,-4.21266894563063
"37","GB52258",379,216,315,278,199,606,289,236,387,559,422,730,-0.564730982114853,5.57787113882489,-2.64393986603115,0.0197583600282173,0.987239360090364,-4.16084497528735
"38","GB52294",75,90,48,24,29,76,87,62,319,139,164,272,-1.75096377286304,3.55680619942388,-4.57777228366671,0.000473874062738742,0.987239360090364,-3.95297684531125
"39","GB52511",143,116,219,159,137,222,161,104,232,213,211,291,-0.432675237907313,4.57127099110487,-2.95380801642927,0.0108335227586495,0.987239360090364,-4.08962507518627
"40","GB53446",19,10,16,9,12,17,16,0,4,4,8,5,1.45419150523444,0.0791870190787324,2.91415133214766,0.0117038596510478,0.987239360090364,-4.46985899817537
"41","GB53527",14,12,32,11,13,28,13,6,8,8,12,12,0.648665569244704,0.819119576526833,2.7745443022083,0.0153513239492402,0.987239360090364,-4.44976652490614
"42","GB53601",14,8,24,9,10,20,10,1,8,5,4,9,1.10374433202794,0.231325223771528,3.42837958496447,0.00428536519149025,0.987239360090364,-4.43215592519892
"43","GB53607",43,51,99,55,40,74,45,11,34,37,35,51,0.616380142277179,2.55003129909512,2.91149479853794,0.0117645668038215,0.987239360090364,-4.31933664089089
"44","GB53698",76,47,102,42,48,154,92,50,96,166,99,129,-0.630498700478927,3.48985639818727,-2.67512066225257,0.0186058048828154,0.987239360090364,-4.26935998714526
"45","GB54172",206,212,567,258,161,496,150,120,126,126,194,378,0.594612403700033,4.86925429001346,2.67370720783184,0.0186566066843558,0.987239360090364,-4.15751680481116
"46","GB54847",16,16,43,21,11,29,6,7,15,11,17,13,0.772144599434358,1.05078214663665,2.69231117402317,0.0179986230102525,0.987239360090364,-4.44609526115278
"47","GB55088",78,56,216,78,49,90,72,15,56,26,68,43,0.844438475801584,2.98299597866073,2.84265091718472,0.0134505579107593,0.987239360090364,-4.29170681466496
"48","GB55624",141,127,338,218,103,257,123,58,91,67,181,133,0.670847858356313,4.18892691451449,3.15260369932643,0.00734780102231298,0.987239360090364,-4.08822484152527
"49","GB55706",3080,1059,2325,2633,1261,4549,880,540,1309,841,2072,1901,0.8053019679283,7.72954816821654,2.94316120511938,0.0110607062488147,0.987239360090364,-4.22836358955268
"50","GB55881",44,31,91,43,32,71,55,21,26,11,28,35,0.714921330065512,2.27705176411659,2.61801103680443,0.020769313772338,0.987239360090364,-4.3825992548031
