"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40094",117,170,60,117,90,223,80,105,75,93,64,115,0.661730828131228,3.78047655801837,3.3196812340232,0.00527404413737925,0.920359614754807,-4.09532974394053
"2","GB40217",98,93,55,56,27,212,161,314,103,91,147,231,-0.91966637536336,3.87275649193137,-2.93893093365514,0.0111124944271343,0.920359614754807,-4.17721432980387
"3","GB40303",27,33,21,13,14,25,42,74,40,26,39,39,-0.816942624008335,2.01156867283336,-2.97560139603326,0.0103445450210365,0.920359614754807,-4.35344897749932
"4","GB41228",130,69,55,70,34,212,143,267,144,115,329,246,-1.08816576345154,4.06342818039698,-3.68958382131206,0.00256001451110478,0.920359614754807,-3.99990699810982
"5","GB41240",431,629,184,539,385,614,141,497,375,172,237,490,0.750323603504556,5.55835354377214,3.3943774847497,0.00455630237567908,0.920359614754807,-3.95453197924264
"6","GB41275",55,30,22,48,58,87,22,19,25,24,36,46,0.932723167711573,2.26731616756363,3.17903717008337,0.0069472896645488,0.920359614754807,-4.30478954704992
"7","GB41296",55,41,26,86,100,59,49,3,13,29,29,26,1.8419855915423,2.15321701646856,3.01848872116667,0.00951276088500251,0.920359614754807,-4.34215810255681
"8","GB41331",61,72,41,61,80,49,47,30,26,23,31,76,0.864683803637149,2.64116218451776,2.93161813742877,0.0112722376118757,0.920359614754807,-4.30483432194013
"9","GB41471",836,787,376,749,450,741,396,872,330,346,451,698,0.548975936120082,6.21111373109904,3.58582290358903,0.00313377868546973,0.920359614754807,-3.95403433308826
"10","GB41859",110,186,79,138,107,195,183,351,205,136,180,234,-0.508797071059734,4.45956419245402,-3.10254859829894,0.00807000950913404,0.920359614754807,-4.06357605438823
"11","GB41965",17,11,6,31,21,32,5,4,4,10,4,26,1.48349020094592,0.595380570694256,3.21482803701869,0.00647682846071882,0.920359614754807,-4.42724342729234
"12","GB42539",24,29,16,25,32,47,17,25,4,25,11,11,1.2216857557075,1.39779196302184,3.25426913114116,0.00599516056148092,0.920359614754807,-4.37093047249376
"13","GB42593",23,19,3,12,15,15,4,5,2,7,10,12,1.25668866787907,0.280822407660523,3.10270595589468,0.00806752370322578,0.920359614754807,-4.44934031211603
"14","GB42637",182,77,22,288,61,156,43,54,22,34,96,42,1.40370143687391,3.14783079408994,3.05655701190303,0.00883014780305858,0.920359614754807,-4.2354896539544
"15","GB42797",210,427,86,370,326,439,45,222,199,143,56,273,1.238941559827,4.6548485591068,3.21879151627864,0.00642672657800063,0.920359614754807,-4.03108443416754
"16","GB42900",1218,1205,938,2029,1141,2543,627,1655,549,940,721,1351,0.820025081610702,7.24613765411055,3.64617908439786,0.00278581792737897,0.920359614754807,-4.04823119077487
"17","GB43518",33,47,11,13,24,43,10,3,19,9,5,17,1.71615863390251,1.04747412294574,3.54523635044761,0.00339219677924633,0.920359614754807,-4.37505022436487
"18","GB43915",20,21,9,18,27,17,15,12,7,9,10,13,0.887004687455332,0.943986755722468,3.09189261123903,0.0082401277079957,0.920359614754807,-4.41430211541474
"19","GB44043",50,17,35,30,24,40,11,8,15,1,52,11,1.68775472072521,1.29053792096283,2.97194567048535,0.0104186876586646,0.920359614754807,-4.40885240372478
"20","GB44093",65,65,33,52,53,122,89,204,93,68,93,109,-0.591438370827056,3.4106326395664,-3.03759773669968,0.00916381399138247,0.920359614754807,-4.20555631703174
"21","GB44185",363,287,179,729,296,647,160,429,181,181,238,315,0.808870206361362,5.31486005662532,3.69052778081261,0.00255531560690384,0.920359614754807,-3.87540938699354
"22","GB44256",8,12,7,15,14,41,7,5,1,9,5,13,1.42259528613019,0.292906906529801,2.95366673107062,0.0107973570990072,0.920359614754807,-4.45895098091409
"23","GB45032",21,17,20,18,12,14,12,9,3,6,9,13,1.15031438215934,0.691892404289316,3.24575278088298,0.00609603822103207,0.920359614754807,-4.41836696148748
"24","GB45938",14,10,29,34,18,22,5,10,9,4,14,13,1.24736767995483,0.841763967104108,3.05823185553648,0.00880125800508887,0.920359614754807,-4.42491243100511
"25","GB45973",944,1146,439,2831,564,1520,572,1177,386,368,484,736,0.989361084582431,6.68399717033421,3.24377824565366,0.00611966833088683,0.920359614754807,-4.08032859956562
"26","GB46124",9,27,7,16,6,17,13,46,28,13,26,46,-0.933898218656895,1.26959357816196,-2.96386144986102,0.010584515605443,0.920359614754807,-4.40750810605803
"27","GB46224",355,129,236,160,80,396,1000,777,269,187,627,832,-1.27977819180683,5.42746080609115,-2.95594948145982,0.0107493343880616,0.920359614754807,-4.08761798917208
"28","GB47601",118,111,82,138,135,161,126,102,45,69,64,130,0.705178623661139,3.76595956082732,3.04653792317695,0.00900494490666934,0.920359614754807,-4.15600148695482
"29","GB47970",154,179,114,94,88,186,150,520,230,114,300,342,-0.771398380477667,4.58697449393162,-3.39452216702071,0.00455501197558442,0.920359614754807,-3.9856858474475
"30","GB48062",108,110,40,119,92,107,49,63,34,53,63,110,0.809606647842646,3.29919083955442,3.88347153920943,0.00175736288900098,0.920359614754807,-4.07331824794095
"31","GB48159",7,20,2,13,7,4,11,36,21,8,16,31,-1.19525785540493,0.661898926143953,-2.94576278119309,0.0109652765458941,0.920359614754807,-4.44335176946389
"32","GB49255",17,12,5,15,17,13,9,7,8,5,4,9,1.02384699362727,0.372202325360773,3.27808695166868,0.00572181435640656,0.920359614754807,-4.43311330084056
"33","GB49392",2968,2680,1016,2792,2227,2559,1697,1328,1133,795,2556,1941,0.753532795167287,7.93410812717405,2.93196176367495,0.0112646808546563,0.920359614754807,-4.23276560022566
"34","GB49446",141,162,86,162,116,255,229,325,199,207,213,273,-0.537870111045721,4.64706124158272,-3.55952215036999,0.00329886789336852,0.920359614754807,-3.93399132118203
"35","GB50405",21,36,9,12,11,21,21,90,29,21,47,60,-1.09240561969531,1.7881135153888,-3.72047245324141,0.00241071144627109,0.920359614754807,-4.29507166274824
"36","GB50530",17,17,10,18,19,24,11,6,2,12,5,11,1.4684087857796,0.600762798706745,3.94529618745259,0.00155956614787273,0.920359614754807,-4.37880633365092
"37","GB51799",45,49,14,87,11,48,53,327,178,200,73,145,-1.80349362646499,3.20452898268236,-3.77314849075513,0.00217619058566215,0.920359614754807,-4.13127102171742
"38","GB51995",230,130,50,103,190,146,118,73,32,85,90,91,0.970413613950178,3.73472818598612,2.88310991550934,0.0123906901300142,0.920359614754807,-4.19760994256815
"39","GB52275",109,181,75,63,54,166,103,411,233,139,186,262,-0.896460365028558,4.23983592862185,-3.37796562459864,0.00470508827619111,0.920359614754807,-4.03320406974154
"40","GB52817",9,6,2,8,4,6,8,43,48,3,33,40,-1.78389259761578,0.570638445636943,-3.19790941560962,0.00669511839933338,0.920359614754807,-4.43094830165315
"41","GB53665",28,43,20,39,38,43,18,23,13,28,15,41,0.827625326630494,1.88365641169768,3.13494926902043,0.00757390997075772,0.920359614754807,-4.34315777506903
"42","GB53823",12,8,3,11,13,17,8,37,27,12,26,32,-0.937569452930894,0.976176441378059,-3.01183130408049,0.00963739726044178,0.920359614754807,-4.42082843022953
"43","GB53925",2962,4171,1124,3939,3119,13075,1321,1383,1171,1197,736,2545,1.58260790552547,8.18797594765412,4.60737365245898,0.000443937357594537,0.920359614754807,-3.99263787465171
"44","GB54847",16,6,7,15,11,13,16,43,21,11,17,29,-0.81210709910236,1.05078214663665,-2.92018463307117,0.0115265450169072,0.920359614754807,-4.42382951472379
"45","GB54955",12,12,5,17,16,14,4,5,2,10,4,11,1.2878176420909,0.174318032542844,3.46786732120974,0.00394599586043674,0.920359614754807,-4.43060612626477
"46","GB55094",20,31,16,28,15,38,37,87,40,18,37,62,-0.706982635987684,2.09441335203117,-2.89735495914472,0.0120513663193143,0.920359614754807,-4.35591462734587
"47","GB55144",221,116,126,73,131,217,66,82,70,51,44,61,1.33729957394413,3.63196959700453,4.6202981885094,0.000433383975154954,0.920359614754807,-3.91408897922188
"48","GB55624",141,123,58,91,67,133,127,338,218,103,181,257,-0.805297144604654,4.18892691451449,-4.57801253810768,0.000468911020817381,0.920359614754807,-3.80463022766856
"49","GB55682",27,40,12,30,57,30,14,25,13,6,17,30,1.02027617615206,1.56614247581808,3.26134568681742,0.00591260901640258,0.920359614754807,-4.35662520022411
"50","GB55882",4,13,7,7,3,9,14,32,14,13,10,16,-1.04156825337973,0.499977511963302,-2.93426852789951,0.0112140815343632,0.920359614754807,-4.45115651415929
