"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40356",71,29,40,75,66,91,47,29,17,27,52,28,0.647806509358278,2.53149612398165,2.68946075887529,0.0180886686387326,0.99959796075159,-4.35896818107921
"2","GB40566",200,113,103,75,192,139,272,257,76,160,336,308,-0.987549418172349,4.47838395574522,-3.17221376579987,0.00706583237012475,0.99959796075159,-4.06286875609172
"3","GB40615",244,136,259,309,316,522,162,166,56,290,145,69,0.816553407213024,4.6634310176609,2.99015756367063,0.0100852755560919,0.99959796075159,-4.10343267345745
"4","GB40616",35,44,28,63,59,100,26,24,21,30,15,18,0.98332150697007,2.17767766154212,3.59484458208821,0.00309396558499929,0.99959796075159,-4.2775809182515
"5","GB41228",130,143,144,329,212,246,267,69,55,70,34,115,0.923340776257109,4.06342818039698,2.75355469840206,0.0159797161654538,0.99959796075159,-4.21283765017208
"6","GB41670",742,334,999,1941,775,2070,645,300,171,791,403,170,1.17915939515923,6.28223812947253,3.07335777355524,0.00857263628249387,0.99959796075159,-4.11469649087703
"7","GB41772",2880,1833,1806,1531,2441,2971,5402,3154,1841,1784,2659,2391,-0.553172008718029,8.33915571090637,-2.72034283034216,0.0170406738844448,0.99959796075159,-4.30884733482113
"8","GB42177",146,91,120,211,125,127,82,91,67,82,23,45,0.901504551549228,3.58143544951833,2.91098521828717,0.0117688258347874,0.99959796075159,-4.22585086998076
"9","GB42427",3331,1446,8375,2836,2229,6137,1703,414,478,2265,700,1410,1.57339545117672,7.92298026642728,3.31951465571751,0.00529677775824735,0.99959796075159,-4.18499919982312
"10","GB42549",62,61,27,161,110,75,47,3,18,15,7,10,2.27637365149703,2.01394579561495,4.23954128560496,0.000893653976436993,0.99959796075159,-4.25759143032544
"11","GB42552",78,64,30,46,63,131,29,11,19,8,43,12,1.62382812783115,2.16209522882137,4.01583617864949,0.00136992860207727,0.99959796075159,-4.24583257685634
"12","GB42553",96,65,18,54,55,98,23,15,29,16,36,22,1.15441489536151,2.28445088055531,2.76255070556924,0.0157036250425093,0.99959796075159,-4.36992448243558
"13","GB42642",33,39,9,27,34,22,5,1,11,1,15,15,1.97734664844607,0.694730923439389,2.92138178604375,0.0115328495914114,0.99959796075159,-4.45099265758167
"14","GB42715",11,10,13,13,20,20,22,24,21,19,24,16,-0.756557370449332,1.24116811962776,-2.97771436113983,0.0103331618810882,0.99959796075159,-4.41139401068415
"15","GB43173",73,45,50,48,107,115,144,117,47,67,74,87,-0.544565567954125,3.35082931944773,-2.82637385287934,0.0138745688639116,0.99959796075159,-4.26124123696064
"16","GB43738",672,406,377,551,838,673,2594,1000,487,379,743,891,-0.802542888110426,6.52120157168126,-2.96152251436335,0.0106647664275758,0.99959796075159,-4.14689357990673
"17","GB43847",46,48,48,71,40,62,42,18,18,12,10,22,1.19559285407164,2.06972830514479,3.97516378090907,0.00148128352130207,0.99959796075159,-4.2545750116101
"18","GB44002",90,99,71,70,203,148,303,161,105,152,196,128,-0.894641623964259,4.14781168342349,-4.41702823204986,0.000639003955212542,0.99959796075159,-3.8536620582773
"19","GB44227",13,16,30,25,32,52,20,20,5,13,2,9,1.15199730303453,1.07618846131417,2.77722161730805,0.0152633450010192,0.99959796075159,-4.44220517580373
"20","GB44263",12,20,10,16,20,25,59,21,16,19,20,18,-0.747198082497252,1.41349220627073,-2.86529814036669,0.0128634468240722,0.99959796075159,-4.4113505876948
"21","GB44477",214,149,140,264,175,440,179,123,68,122,43,120,0.832144244477929,4.29094553819654,3.11706858248749,0.00787052156507121,0.99959796075159,-4.10320619219413
