"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",170,458,312,194,295,158,31,213,24,97,50,23,2.29600534014671,3.92393631404482,3.80033200902638,0.00205579543218096,0.999836437558834,-4.0543191340666
"2","GB40167",8,1,1,1,9,9,36,28,8,3,14,16,-1.95238320451382,-0.0471635011007465,-3.4420073876082,0.00413709694789227,0.999836437558834,-4.43892703238155
"3","GB40302",5031,7646,6396,3499,5748,5279,3214,4146,2048,3449,2235,2403,0.992964137202149,9.04352675084038,3.06630369837071,0.00864192059503781,0.999836437558834,-4.26351755484374
"4","GB40304",473,457,520,347,490,512,289,487,120,288,195,230,0.946392204196045,5.50471310708765,2.98658888400079,0.010101424219612,0.999836437558834,-4.07116811077595
"5","GB40618",3744,9280,6610,2630,5594,3160,311,3014,507,1746,1346,270,2.52232363497862,8.04388788028116,3.43481908556733,0.00419576785708398,0.999836437558834,-4.15022285459603
"6","GB41390",3013,6715,4563,2203,3657,3151,875,2796,592,2531,982,816,1.6470385485205,8.13498672343973,3.23305929284026,0.00623191503295056,0.999836437558834,-4.18898535405567
"7","GB41708",2878,552,307,3438,3216,326,370,264,51,226,175,475,2.3423825816591,6.02750240541966,3.62302284982889,0.00290360055462915,0.999836437558834,-3.9822033880744
"8","GB41901",559,815,462,571,766,717,460,467,328,501,317,438,0.649950007473927,6.10742816384039,3.10574306205363,0.00799922188623262,0.999836437558834,-4.06471492786012
"9","GB41981",554,2569,1005,824,1358,707,188,433,129,559,213,126,2.21158447077024,6.03649136081421,4.14611393679329,0.00105512265620592,0.999836437558834,-3.86784591688047
"10","GB42084",814,539,621,921,1478,1809,2106,1537,1446,944,1224,1523,-0.602819465875041,7.27831928284047,-3.31244320147122,0.0053333289789766,0.999836437558834,-4.11519972275903
"11","GB42252",846,1221,756,468,1126,919,488,552,316,458,360,319,1.10270152319681,6.30629841948299,3.96431820233936,0.00149651772633047,0.999836437558834,-3.89242607708018
"12","GB42920",179,191,161,177,224,224,149,116,100,152,126,128,0.589748172398506,4.39614147386145,2.96720798583818,0.0104916467959583,0.999836437558834,-4.11253330108087
"13","GB43006",1290,735,1134,925,2392,2255,6118,5270,6546,1292,1977,1815,-1.2272504961291,8.10237018551298,-3.31811813303762,0.00527429928290502,0.999836437558834,-4.16977041200971
"14","GB43256",957,477,413,605,842,1007,1468,1335,1513,625,1050,907,-0.696517967866971,6.86047329652053,-3.41745760837385,0.00434095000740002,0.999836437558834,-4.05944394503476
"15","GB43308",276,403,229,206,305,246,111,142,51,248,97,109,1.28989228009404,4.56314536427187,3.53766410091514,0.00343064613696754,0.999836437558834,-3.98158387076597
"16","GB44144",839,1070,1026,740,935,839,512,625,305,590,482,446,0.952917442136587,6.47001937846669,3.18458153458356,0.0068535572073773,0.999836437558834,-4.07597439535356
"17","GB44552",2328,4217,1882,1933,7169,2687,223,1288,117,875,676,69,3.15127053996314,7.06711642267724,3.95845659063363,0.00151354670066945,0.999836437558834,-3.99112424239336
"18","GB44561",152,297,112,124,397,160,36,103,30,65,66,26,1.98228691312258,3.67591957186834,4.52260548874572,0.000516900635327615,0.999836437558834,-3.96457459868319
"19","GB44586",483,456,344,310,574,495,200,261,189,324,308,241,0.825028694736245,5.46872854856059,3.06463765869256,0.00867017090051153,0.999836437558834,-4.04701295956715
"20","GB45712",574,629,487,520,848,660,507,471,321,425,378,405,0.583038751638092,6.07892708289224,3.13433027477291,0.00756328771917111,0.999836437558834,-4.05484466177215
"21","GB45763",190,386,354,147,149,186,31,220,28,56,75,23,2.0847145065023,3.8410933958043,3.41606088625,0.00435284725521417,0.999836437558834,-4.12271464913897
"22","GB46597",211,205,136,215,239,202,238,182,89,99,89,103,0.658562092765901,4.40006133235954,3.29053259341109,0.00556751955461621,0.999836437558834,-4.03500240110163
"23","GB46924",25,39,28,19,32,27,12,23,9,10,5,14,1.22011816050384,1.27752113390163,3.44500532352895,0.00411287253971301,0.999836437558834,-4.3689170760512
"24","GB47011",299,289,210,210,410,317,265,179,179,190,148,258,0.504503573214012,4.99476631942156,2.94265339650895,0.0110074848375324,0.999836437558834,-4.07801272519071
"25","GB48173",24,37,19,9,35,19,18,8,3,7,1,16,1.56202266686556,0.727370926296684,2.9996632745726,0.0098463211022255,0.999836437558834,-4.44117505774199
"26","GB48816",54,70,25,28,38,28,21,25,18,10,12,19,1.08494515759753,1.7848643372951,2.99449371599995,0.00994641695699059,0.999836437558834,-4.37402058991026
"27","GB48961",718,416,353,400,836,1158,1031,1291,1410,653,1058,717,-0.772328061767494,6.67987217329597,-3.18503838185316,0.00684741931276127,0.999836437558834,-4.09434931111108
"28","GB49327",37,36,42,38,81,93,129,112,63,92,55,83,-0.757463424767553,3.1495953575829,-3.52539544226651,0.00351397173879991,0.999836437558834,-4.16132716114278
