"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41311",7.0057890192535,7.25629723969068,7.01031186730723,7.57763383260273,6.12905021006055,7.50933526601659,6.67076632084587,6.75110146893676,5.38449506278909,6.17586727010576,6.68210859744981,7.07242190053737,0.169342236366279,7.14480367537375,3.38465863383305,0.00418599550493557,0.991374161061315,-1.82748718280452
"2","GB42196",6.42162226780652,5.6021188208797,6.04737217904628,6.15909538849193,5.48893772615669,5.50938833662798,5.27811465923052,5.48893772615669,5.4249500174814,5.59842195899838,5.74620319054015,5.99146454710798,0.104122589232772,6.92545506547876,3.2517615979006,0.00548441950868259,0.991374161061315,-2.04262571943532
"3","GB42597",4.68213122712422,4.66343909411207,4.8283137373023,4.57471097850338,4.85203026391962,3.97029191355212,2.77258872223978,3.58351893845611,3.09104245335832,3.2188758248682,4.58496747867057,3.95124371858143,0.351411052698963,6.45990981582186,4.32369917319235,0.000629456748235499,0.991374161061315,-1.1845683511295
"4","GB43261",4.31748811353631,5.06890420222023,4.90527477843843,4.77912349311153,4.18965474202643,3.80666248977032,4.07753744390572,3.98898404656427,3.29583686600433,3.93182563272433,4.06044301054642,4.44265125649032,0.19011105825791,6.52531251578403,3.1224023508471,0.0071312107965706,0.991374161061315,-2.44226536869682
"5","GB43292",2.77258872223978,2.19722457733622,2.39789527279837,2.56494935746154,1.79175946922805,2.19722457733622,2.484906649788,2.89037175789616,2.70805020110221,3.3322045101752,3.63758615972639,3.52636052461616,-0.318752037232538,5.94979938314176,-3.3191427715534,0.00478249371312767,0.991374161061315,-3.36189566589893
"6","GB43516",4.54329478227,4.44265125649032,4.58496747867057,3.17805383034795,3.73766961828337,4.23410650459726,5.17048399503815,6.00881318544259,5.73979291217923,5.04342511691925,5.53338948872752,6.24610676548156,-0.38265466815858,6.69299837821622,-5.02167650635459,0.000161322037419407,0.991374161061315,0.28113163552987
"7","GB43543",4.969813299576,4.66343909411207,5.4553211153577,5.37527840768417,3.58351893845611,4.18965474202643,4.30406509320417,4.04305126783455,3.66356164612965,4.76217393479776,3.95124371858143,4.65396035015752,0.191503529023629,6.59073814681914,3.22648883847579,0.00577334444433923,0.991374161061315,-2.21993183021559
"8","GB43666",1.09861228866811,1.38629436111989,0.693147180559945,1.09861228866811,0,1.09861228866811,0,0,0,0,0.693147180559945,0,1.22015293022218,4.07626479257316,3.17912345951453,0.00635614300816283,0.991374161061315,-4.45939643544741
"9","GB44493",5.66988092298052,5.52942908751142,6.44571981938558,5.6970934865054,5.26785815906333,5.30826769740121,5.25227342804663,5.51745289646471,5.03695260241363,5.41164605185504,5.47227067367148,5.74939298590825,0.0949116031430668,6.87822290873337,3.51457100643686,0.00321418312945994,0.991374161061315,-1.61016255606486
"10","GB44501",7.5740450053722,7.5109777520141,7.83439230291044,7.96137020171951,7.09340462586877,7.71423114484909,6.95844839329766,7.40367029001237,6.57228254269401,7.45240245122364,7.45645455517621,7.7445698093545,0.108247183893908,7.27568866692156,3.29534415373897,0.00501955423959102,0.991374161061315,-1.98649224384814
"11","GB44560",7.46278915741245,7.25629723969068,7.56268124672188,7.65633716643018,6.84587987526405,7.49720722320332,6.77764659363512,7.19142933003638,6.45833828334479,7.1785454837637,7.36137542897735,7.52402141520612,0.0999377159326205,7.23743998466091,3.20360424041108,0.00604798454804708,0.991374161061315,-2.13192759196886
"12","GB44661",5.86929691313377,5.4553211153577,5.76205138278018,5.75890177387728,5.01063529409626,4.94875989037817,4.91998092582813,5.12989871492307,5.02388052084628,5.11198778835654,5.11198778835654,5.39362754635236,0.127125658234052,6.81990681300981,3.80330530452768,0.00178902120551611,0.991374161061315,-1.15628590235511
"13","GB45141",7.72577144158795,7.53047999524554,7.80220931624712,7.94626364358054,6.9985096422506,6.81563999007433,6.85435450225502,6.92067150424868,6.87523208727658,7.33888813383888,7.2283884515736,7.13568734702814,0.115234266119463,7.24342197856675,3.23897866855063,0.00562871499481199,0.991374161061315,-2.07483437908392
"14","GB45732",5.95842469302978,5.56068163101553,6.7202201551353,6.33327962813969,5.28320372873799,5.00394630594546,5.12396397940326,5.23644196282995,5.42053499927229,5.18738580584075,5.7268477475872,5.89989735358249,0.124253472742063,6.89741871719168,3.2140502176055,0.00592104857041358,0.991374161061315,-2.10666068581638
"15","GB45846",3.49650756146648,1.94591014905531,3.52636052461616,2.19722457733622,2.30258509299405,1.38629436111989,2.70805020110221,3.66356164612965,3.29583686600433,4.40671924726425,4.49980967033027,4.14313472639153,-0.504453575791858,6.0906382142974,-3.1716464959959,0.0064533285276853,0.991374161061315,-3.27953438133101
"16","GB47957",7.31721240835984,7.24136628332232,7.87169266432365,7.78696700261487,6.55819780281227,7.23345541862144,6.71052310945243,7.28344822875663,6.56244409369372,6.96224346426621,7.38956395367764,7.41517510961329,0.0925217724905956,7.23004121520171,3.41204115662499,0.00395926566589257,0.991374161061315,-1.7914190049398
"17","GB48108",1.79175946922805,0.693147180559945,0.693147180559945,1.09861228866811,1.38629436111989,1.09861228866811,2.39789527279837,2.07944154167984,1.79175946922805,2.70805020110221,2.83321334405622,1.79175946922805,-0.767621473777695,5.34569990981062,-3.5691823968791,0.0028765050820659,0.991374161061315,-4.08942013338149
"18","GB48355",7.11639414409346,6.6682282484174,7.26752542782817,7.20934025660291,6.27287700654617,6.37842618365159,6.34738920965601,6.5424719605068,5.87493073085203,6.76272950693188,6.88755257166462,6.8627579130514,0.0955094992140513,7.13051275679097,3.42845026467309,0.00382932396139093,0.991374161061315,-1.75367549128047
"19","GB48380",3.98898404656427,3.52636052461616,4.60517018598809,4.46590811865458,3.68887945411394,4.04305126783455,4.59511985013459,4.61512051684126,4.0943445622221,4.54329478227,5.04342511691925,4.969813299576,-0.140621974029836,6.55917545539405,-3.42235390439115,0.0038770946384812,0.991374161061315,-1.9863856012291
"20","GB48407",6.20050917404269,5.93489419561959,6.86066367144829,6.50128967054039,5.4971682252932,5.78996017089725,7.05272104923232,7.24422751560335,5.94542060860658,6.79122146272619,6.95272864462487,7.25700270709207,-0.114674593293019,7.09103461105585,-3.39385146109485,0.00410846674573192,0.991374161061315,-1.80963204560607
"21","GB48560",4.74493212836325,4.23410650459726,5.35658627467201,4.71849887129509,3.91202300542815,4.21950770517611,5.26785815906333,5.4553211153577,4.51085950651685,5.40267738187228,5.34710753071747,5.80211837537706,-0.159894536438194,6.7166340622172,-4.23089597860762,0.000757201629678391,0.991374161061315,-0.605016026171239
"22","GB48621",3.97029191355212,4.06044301054642,4.07753744390572,3.85014760171006,3.25809653802148,4.06044301054642,3.17805383034795,3.49650756146648,2.83321334405622,3.66356164612965,3.43398720448515,3.89182029811063,0.187499985463814,6.33393325888773,3.30493846153817,0.00492260762890183,0.991374161061315,-2.53288127255983
"23","GB48935",5.14166355650266,4.68213122712422,5.86078622346587,5.39816270151775,4.55387689160054,4.43081679884331,4.70048036579242,4.18965474202643,4.77912349311153,4.71849887129509,4.59511985013459,5.00394630594546,0.139874975977724,6.69996790277449,3.21627485932863,0.00589435897164558,0.991374161061315,-2.14740078076693
"24","GB49268",6.10924758276437,5.92425579741453,6.48616078894409,6.37842618365159,5.54126354515843,5.80211837537706,5.46806014113513,5.7037824746562,5.17614973257383,5.89715386763674,6.07534603108868,6.10702288774225,0.107578195857142,6.96155995595224,4.23868978415896,0.000745520855936158,0.991374161061315,-0.417733717119005
"25","GB49275",6.39859493453521,6.01859321449623,6.05678401322862,6.4281052726846,5.46383180502561,5.83188247728352,5.05624580534831,5.78996017089725,5.24702407216049,5.88887795833288,6.12686918411419,6.04973345523196,0.118418397973827,6.95500895691689,3.22624671047406,0.00577618440527542,0.991374161061315,-2.08457486832283
"26","GB49312",4.89783979995091,4.79579054559674,5.85793315448346,5.90263333340137,4.67282883446191,5.21493575760899,6.45204895443723,6.11368217983223,4.97673374242057,5.8636311755981,6.3456363608286,6.55677835615804,-0.156339804531362,6.89750107281293,-3.13324753139657,0.00697611218594364,0.991374161061315,-2.24241395709919
"27","GB49870",5.48893772615669,5.6937321388027,6.02344759296103,5.96100533962327,5.04342511691925,5.42934562895444,4.78749174278205,5.52545293913178,4.07753744390572,5.35658627467201,5.36597601502185,5.76519110278484,0.14844519302691,6.83723215871186,3.29911096496365,0.00498126743869056,0.991374161061315,-1.97317227765541
"28","GB49887",4.7361984483945,3.87120101090789,5.12989871492307,4.79579054559674,3.29583686600433,3.89182029811063,6.29710931993394,5.52545293913178,4.30406509320417,5.16478597392351,5.41610040220442,5.98393628068719,-0.25465846339791,6.69309537957863,-3.44508363220862,0.00370196047683032,0.991374161061315,-1.83720553625289
"29","GB49930",5.91889385427315,5.23110861685459,6.15697898558556,5.85507192220243,4.84418708645859,5.26269018890489,6.69950034016168,6.26720054854136,5.67675380226828,5.92958914338989,6.35610766069589,6.90575327631146,-0.131842466019219,6.96602616114951,-3.83938211347823,0.00166310359640061,0.991374161061315,-1.07264742816568
