"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40101",48,50,61,24,69,71,23,32,51,33,31,41,0.784534466302951,2.43032149333625,3.69629371432188,0.00244196731456079,0.999979074923609,-4.20031336041081
"2","GB41135",46,26,77,21,54,48,55,61,76,43,96,80,-0.449492678132809,2.75716935976424,-2.75775238244038,0.0155532837724688,0.999979074923609,-4.30496529819159
"3","GB41584",117,156,228,104,171,148,110,119,137,75,99,177,0.562767886575229,4.07274350138341,2.53886886198539,0.0237994609384043,0.999979074923609,-4.21721374846139
"4","GB41802",8,4,10,7,12,16,12,11,14,20,37,20,-0.774137083634193,0.716833259154188,-2.517943729877,0.0247794246765187,0.999979074923609,-4.47365660565962
"5","GB42106",274,180,458,129,272,328,321,337,489,259,528,346,-0.337311388978715,5.28803685473783,-2.56146731349268,0.0227830357826681,0.999979074923609,-4.15169730628713
"6","GB42194",18,33,21,10,32,20,2,6,10,9,38,15,1.16580712748291,0.895455937541041,2.68389308881944,0.0179649749376473,0.999979074923609,-4.45153809553483
"7","GB42323",9,6,7,4,10,7,15,13,14,9,42,20,-1.0707913135013,0.524513100653822,-3.39812479278411,0.00439846709752985,0.999979074923609,-4.41564605723816
"8","GB42516",174,92,266,126,213,152,261,184,264,167,440,357,-0.519891135178887,4.72134347962905,-2.59945060142772,0.0211682054919946,0.999979074923609,-4.15494404711454
"9","GB42677",46,26,131,27,68,67,100,91,105,65,141,75,-0.574495702575497,3.16286445410916,-2.52692649450599,0.0243540838382444,0.999979074923609,-4.31108743268636
"10","GB42959",165,251,321,109,320,329,129,166,231,113,256,307,0.495339485036055,4.73913095210476,2.62537569851276,0.0201301101832024,0.999979074923609,-4.14176694589399
"11","GB42970",276,150,405,140,297,355,273,353,423,267,746,410,-0.412582390494647,5.31640300069401,-2.95984248097629,0.0104593089048497,0.999979074923609,-4.02922114645222
"12","GB43453",116,93,173,78,208,303,46,48,60,160,137,182,0.899970095537883,3.87343211871078,2.72708846849641,0.0165136188606833,0.999979074923609,-4.19225063221109
"13","GB43487",31,31,40,16,36,32,20,25,20,25,21,24,0.635420379946071,1.7533130610078,2.74045484163507,0.0160881063845265,0.999979074923609,-4.39022390995264
"14","GB43526",31,12,114,9,48,37,49,53,61,59,196,81,-0.984539448070192,2.59167496483847,-2.74550632200581,0.0159300930030546,0.999979074923609,-4.32732063606236
"15","GB44399",11,9,31,5,16,20,27,13,59,16,53,40,-0.934112291637119,1.37956286018337,-2.79185306096426,0.0145492671975847,0.999979074923609,-4.4134590913044
"16","GB44479",14,23,41,22,24,34,10,12,26,14,26,12,0.823296263107588,1.36536495674193,2.96929169086198,0.0102663768719884,0.999979074923609,-4.39359358127034
"17","GB44624",14,21,41,16,34,35,10,9,30,18,24,21,0.709473778313207,1.4309326844996,2.6051245575337,0.0209366756371446,0.999979074923609,-4.42760139465177
"18","GB45222",140,164,260,88,238,232,68,142,140,114,260,216,0.471987919175085,4.34547681205001,2.60276785458401,0.0210325439189541,0.999979074923609,-4.17461334902501
"19","GB45763",147,75,186,127,181,296,56,23,149,44,72,82,1.52611998152515,3.64205337464117,4.65535138473541,0.000383589718100071,0.999979074923609,-3.86685955964084
"20","GB46223",2823,3407,3316,1531,1035,4895,292,1567,1133,2150,926,2173,1.35141824384426,7.75834541152034,2.77927859319492,0.0149118994532778,0.999979074923609,-4.20787647761971
"21","GB46229",912,828,1024,687,955,839,451,621,1225,436,1361,454,0.614128256374887,6.61013263394289,2.52326973617321,0.0245263804525446,0.999979074923609,-4.21301777681202
"22","GB46635",54,9,73,18,60,47,72,54,85,56,116,70,-0.774727014358623,2.7076374901986,-2.62769153233344,0.0200398133019349,0.999979074923609,-4.33457060087933
"23","GB47545",27,89,130,137,36,44,72,341,285,82,438,112,-1.39697830144083,3.76327438467821,-2.65616947250759,0.0189610007435429,0.999979074923609,-4.23311822025984
"24","GB48048",94,126,161,70,164,121,76,93,105,87,126,119,0.430476715538411,3.79626817234081,2.65348213251277,0.0190603490387321,0.999979074923609,-4.21412835923623
"25","GB48105",313,210,357,147,344,368,444,344,688,400,457,505,-0.547883447230387,5.51288724880673,-3.32233482120041,0.00510991191397057,0.999979074923609,-3.92916287165998
"26","GB48307",44,33,80,27,45,44,63,63,87,54,109,66,-0.533784162225493,2.83769105736919,-3.17009783056321,0.00690574975644755,0.999979074923609,-4.22612230030701
"27","GB48581",31,65,50,22,51,45,23,29,27,26,20,42,0.814800469590822,2.12136239836081,2.74096718669834,0.0160720105535508,0.999979074923609,-4.36309745106885
"28","GB48667",20,22,17,10,22,17,9,7,14,14,18,9,0.766317580484289,0.892344477605975,2.60527182813245,0.0209306988596276,0.999979074923609,-4.45702960789435
"29","GB48842",437,413,744,402,360,286,1025,868,1266,640,1295,1085,-1.0384878078337,6.37662923853818,-3.92779700621151,0.00155095131455728,0.999979074923609,-3.84508643070141
"30","GB48843",1342,1080,3897,919,923,791,4670,2857,6508,1057,4310,3492,-1.20028744845432,8.02805065795731,-2.99760423307171,0.00970907927498312,0.999979074923609,-4.17251787587999
"31","GB48850",42,17,69,17,65,80,69,46,129,94,104,69,-0.705216418223513,2.88354331849105,-2.52473469283919,0.0244572154313476,0.999979074923609,-4.33726881475438
"32","GB48862",7933,8476,23417,9051,5434,7783,24671,14252,54348,10872,33501,26848,-1.14633006264269,10.8880439323439,-3.0189128228648,0.00930945573764813,0.999979074923609,-4.30162781787126
"33","GB49173",96,246,244,112,239,213,71,99,192,76,156,215,0.696497988365497,4.24994493881137,2.61542377564447,0.0205226477732165,0.999979074923609,-4.18224734113718
"34","GB49444",16,16,15,6,21,19,5,7,9,6,11,25,0.829501192342351,0.612799923634501,2.56727396197272,0.0225286973418807,0.999979074923609,-4.47327050010448
"35","GB49445",8,12,15,11,23,13,5,5,3,4,7,17,1.26113273148207,0.236558460298654,3.23145713439677,0.00611647515618089,0.999979074923609,-4.44367572301935
"36","GB49876",275,186,481,142,291,440,702,347,380,451,469,683,-0.631182857442284,5.55438909047934,-2.60222830459644,0.0210545518693177,0.999979074923609,-4.14601406115943
"37","GB49878",1492,363,177,676,378,1639,3518,1083,1864,2217,1660,5418,-1.7233579421271,7.20804736742812,-2.76347076239235,0.015380321994747,0.999979074923609,-4.18300708054691
"38","GB50292",30,45,17,39,26,31,26,12,13,6,29,5,1.3027871272549,1.34448381271118,2.51901937614785,0.0247281182700432,0.999979074923609,-4.44528133461462
"39","GB50478",3,13,36,14,11,15,25,30,34,14,50,64,-1.20343309429858,1.39289535110279,-2.82404656456418,0.0136596957101096,0.999979074923609,-4.41074467338289
"40","GB50814",235,160,529,218,289,304,324,401,523,269,858,590,-0.564415323683941,5.49087697863904,-3.02570272341733,0.00918556717234292,0.999979074923609,-4.01475407155406
"41","GB51371",153,64,248,113,236,209,238,195,240,228,470,255,-0.533291876755019,4.68094588511986,-2.5546487536969,0.0230852301594253,0.999979074923609,-4.1711251859804
"42","GB52673",8,8,16,8,13,9,15,16,20,15,27,27,-0.75709146253973,0.880873910788494,-3.26260766483096,0.00575089811890698,0.999979074923609,-4.4019892601749
"43","GB53365",74,52,168,71,113,102,129,128,157,84,306,218,-0.610484387803692,3.928125238881,-2.91964512620613,0.0113207751585746,0.999979074923609,-4.13683278925299
"44","GB53447",41,61,78,38,80,74,15,40,44,26,78,62,0.741335605419408,2.63124857967917,2.99891636060976,0.00968398901760961,0.999979074923609,-4.27716075916635
"45","GB54720",14,8,14,3,13,11,5,9,8,5,5,6,0.839065782545984,0.0575987699563561,2.72346926895224,0.0166307078871686,0.999979074923609,-4.48398126792263
"46","GB54838",388,248,419,255,294,451,304,95,439,174,207,255,0.801451526313785,5.1188161038393,2.62304821417628,0.0202212580139237,0.999979074923609,-4.13357020916485
"47","GB55008",92,63,115,44,62,79,42,52,53,33,84,93,0.54343654807197,3.03275112378298,2.64884330392544,0.0192330306067682,0.999979074923609,-4.2969309730587
"48","GB55257",21,4,2,4,7,82,108,21,20,75,43,70,-2.06582322233845,1.42627952838429,-2.60364203131849,0.020996933905142,0.999979074923609,-4.44092890517397
"49","GB55879",252,357,287,138,398,319,168,179,202,227,244,330,0.548319282252269,4.98059843494933,2.52771692692712,0.0243169940212133,0.999979074923609,-4.16369602245116
"50","GB55995",61,96,180,112,77,68,208,128,222,86,285,273,-0.872542258489141,4.06676309851471,-2.75099359776882,0.0157601622131553,0.999979074923609,-4.16841285098812
