"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40229",4,8,4,4,2,8,9,14,19,9,6,13,-1.43998844841044,0.157584824523518,-4.12563428106976,0.00104332732443372,0.999802178513076,-4.39858967457778
"2","GB40699",4,17,8,4,4,9,13,11,15,17,16,15,-1.19041327762894,0.593732603554098,-3.10885190069542,0.00774885605102527,0.999802178513076,-4.43434118986405
"3","GB40973",145,126,42,23,100,105,268,338,404,236,98,201,-1.98831893131205,4.29899947100032,-4.31788282192471,0.000719280281676812,0.999802178513076,-3.75943381773678
"4","GB40996",37,74,71,26,17,28,45,113,130,67,30,71,-1.13027014657363,2.88478742335389,-3.19704855994044,0.00650607081893672,0.999802178513076,-4.21116149905046
"5","GB41736",22,34,2,28,4,4,13,36,66,35,25,29,-1.84422976679949,1.38247327698441,-2.97103182747753,0.0101777440897449,0.999802178513076,-4.39979549598979
"6","GB41756",48,40,20,35,101,85,81,99,101,96,64,131,-1.26193376110257,3.30111383554957,-3.11615120497382,0.00763761145913033,0.999802178513076,-4.16856662833981
"7","GB42814",213,670,563,523,413,286,449,568,618,357,275,580,-0.348823582371394,5.99551213620228,-2.9390841432819,0.0108403904980227,0.999802178513076,-3.98050293184969
"8","GB43227",34,12,9,31,17,19,68,56,55,40,34,54,-1.76476793391322,2.1759402222379,-4.44689571146234,0.000561554845731487,0.999802178513076,-4.1637795424048
"9","GB43295",23,66,28,20,31,59,40,76,95,53,34,68,-0.993216970192351,2.71541040365901,-3.32099842158394,0.00508798408468416,0.999802178513076,-4.21257578860781
"10","GB43606",24,29,25,20,32,29,37,51,57,36,20,36,-0.786636752969901,2.22668126207035,-3.00617045768513,0.00949499400971415,0.999802178513076,-4.31476453407433
"11","GB43711",21,119,66,34,23,39,104,100,80,45,53,77,-0.962640587725851,3.02948711995426,-3.38800161804402,0.00445480316856765,0.999802178513076,-4.15671657899974
"12","GB44024",947,2027,4644,338,619,382,9024,5607,5276,714,1462,5401,-1.96195898512834,8.03784852846296,-3.05526350369425,0.00861628528254979,0.999802178513076,-4.14758785481231
"13","GB44626",88,283,261,192,204,87,271,294,264,195,177,210,-0.630322739794498,4.85713471679407,-3.37510563103748,0.00457020756888266,0.999802178513076,-3.84819928813354
"14","GB44708",26,28,19,21,15,13,9,10,18,2,5,8,1.04170492427264,0.874158813571218,2.96018115486101,0.0103982004299017,0.999802178513076,-4.43163029456574
"15","GB45676",28,97,63,46,40,42,98,133,94,49,40,60,-0.768351679003898,3.13668237098387,-3.31394057623835,0.00515971974450748,0.999802178513076,-4.15111204259943
"16","GB45874",11,29,17,19,26,5,5,8,10,2,1,13,1.28757011122544,0.44992132885422,3.14914255354236,0.00715426963517034,0.999802178513076,-4.44242045870994
"17","GB46547",12,25,9,13,17,16,24,25,25,25,17,41,-0.993716265129388,1.534908804447,-3.36153365170278,0.00469490054601753,0.999802178513076,-4.34086088505826
"18","GB46640",85,335,221,179,135,140,51,93,152,41,81,119,0.822746759761992,4.10034318495871,4.03894179805361,0.00123517680473439,0.999802178513076,-3.82649796397405
"19","GB47091",37,67,20,20,51,80,36,87,182,64,43,138,-1.28495011753876,3.04572338293894,-2.9710148135295,0.0101780861332762,0.999802178513076,-4.23149388918669
