"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40288",87,525,396,336,438,157,125,178,98,137,125,156,0.82982271154145,4.81817403042151,3.82004185949704,0.00191693682659447,0.981986250981825,-3.72722510528999
"2","GB40377",14,13,7,19,29,24,28,34,17,22,36,36,-1.1380739115559,1.66954479655018,-3.22604800233791,0.00618635252354228,0.981986250981825,-4.34059730842414
"3","GB41369",22,484,363,203,378,145,182,37,12,37,88,65,1.71532802374038,3.85333547919705,3.13961732237804,0.00733925268512021,0.981986250981825,-4.10076311798707
"4","GB41756",48,40,20,101,35,85,81,99,96,64,131,101,-1.31374655693364,3.30111383554957,-3.34525908417601,0.00488685447637275,0.981986250981825,-4.11582699401839
"5","GB42434",10881,53868,30329,20955,30899,16959,18407,11854,3312,10362,12347,8488,1.06105194908809,11.1251927351064,3.24365531350328,0.00597462189413255,0.981986250981825,-4.3098599496414
"6","GB43552",42,226,193,142,184,88,162,246,88,92,230,269,-0.599691955992469,4.4150136172487,-3.38480941643797,0.00451919291123979,0.981986250981825,-3.88627527694933
"7","GB44058",224,735,318,324,297,235,216,109,78,163,160,190,0.932555553929819,4.99644872323154,3.71278330200405,0.00236621674128821,0.981986250981825,-3.74542532834629
"8","GB44258",4,20,11,10,15,14,3,5,4,3,10,5,0.95423704481658,0.178431070617265,3.09088530058564,0.00808105418636281,0.981986250981825,-4.45732781283279
"9","GB44537",119,1024,490,387,629,419,216,204,124,161,370,253,0.765807751845862,5.45724086055475,3.22711625089626,0.00617329593505773,0.981986250981825,-3.86494587232237
"10","GB44708",26,28,19,18,21,13,9,10,2,5,8,15,1.08060642699707,0.874158813571218,3.14204746747186,0.00730408623995319,0.981986250981825,-4.41640745417822
"11","GB44824",140,307,164,319,221,187,378,744,137,143,365,584,-0.881139342582384,5.27412310121611,-3.31802475023857,0.00515731463206081,0.981986250981825,-3.82121949634253
"12","GB45272",35,267,90,128,165,82,40,48,24,32,108,82,0.899550312497198,3.41251332153456,3.18502894932508,0.00670909046264857,0.981986250981825,-4.13364328683427
"13","GB45445",6,12,20,16,24,7,15,21,16,13,25,32,-0.847261736558435,1.24435016371772,-3.09650794209245,0.00799180307567253,0.981986250981825,-4.3890128323426
"14","GB45778",11,32,19,23,19,12,8,12,0,8,4,8,1.55448073037783,0.515097717884673,3.30699809554017,0.00527103592959071,0.981986250981825,-4.42935110671889
"15","GB45811",12,6,4,14,8,7,19,12,16,13,30,16,-1.3957574130921,0.82167087331754,-3.33906419253425,0.00494709910095755,0.981986250981825,-4.40138805076984
"16","GB46014",89,334,237,267,251,153,151,198,89,90,166,146,0.366585651671101,4.60709634295257,3.11896702694214,0.00764495367753775,0.981986250981825,-3.94466967599459
"17","GB46036",102,306,257,218,280,168,140,190,89,94,161,172,0.370521756509442,4.6297834552919,3.38948586154849,0.00447759673750285,0.981986250981825,-3.85902288383187
"18","GB46640",85,335,221,152,179,140,51,93,41,81,119,135,0.829801570900942,4.10034318495871,4.11020631093197,0.00108878291858438,0.981986250981825,-3.79835457859442
"19","GB46847",122,391,302,347,282,159,213,218,89,93,175,162,0.471193115326568,4.81836877941774,3.17125163740277,0.00689435946193137,0.981986250981825,-3.90707853218237
"20","GB47304",435,1061,1262,1164,1320,640,1257,1470,762,595,1202,1728,-0.51619859010295,7.19865318373646,-3.1416909480569,0.00730923489957018,0.981986250981825,-4.02825473038865
"21","GB47415",269,720,682,723,613,478,750,928,460,459,603,650,-0.434602787463286,6.42647573260084,-3.08998689134082,0.00809540645083842,0.981986250981825,-3.95483654502187
"22","GB47429",5,37,15,17,26,15,6,4,2,9,13,8,1.16747713762088,0.627186727010745,3.21618486081392,0.00630821295043708,0.981986250981825,-4.42544336441235
"23","GB47565",838,2381,2685,3895,2728,1160,3320,5519,1589,2183,2321,3758,-0.779164548721711,8.46193416838678,-3.23649008178307,0.00605989786011946,0.981986250981825,-4.12798877627961
"24","GB47580",79,453,352,176,419,236,145,141,62,139,163,124,0.777909500759379,4.68195670677773,3.06363728438212,0.00852777754466808,0.981986250981825,-3.96687829463328
"25","GB48068",138,234,356,172,115,77,333,383,155,158,316,460,-1.06528100470156,4.95999572910226,-4.03497688719641,0.0012599690237815,0.981986250981825,-3.63181569926556
"26","GB48391",9729,38179,19285,12762,17991,13108,12443,2297,2579,7769,5380,5661,1.42228054213303,10.4027090075294,3.21298490164017,0.00634826097555002,0.981986250981825,-4.27594590245508
"27","GB48799",38,135,118,102,104,100,91,134,88,75,136,134,-0.43279972404972,3.87689878323527,-3.07107077016407,0.00840353445862665,0.981986250981825,-4.06791730268881
"28","GB48832",147,105,249,151,70,37,399,359,68,112,490,329,-1.50199029241652,4.55299091040159,-3.47802521837002,0.00375875617997501,0.981986250981825,-3.86334497595191
"29","GB49440",52,251,132,100,169,185,62,63,37,58,82,63,0.925940158566374,3.71070501014796,3.71523698286016,0.00235482913422166,0.981986250981825,-3.96996609934183
