"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40253",8.07558263667172,8.06714903991011,7.68109900153636,7.97177612288063,8.48714627006394,8.55159461813357,7.77106708606541,6.48768401848461,7.02908756414966,8.12177741916107,7.6511201757027,6.96508034560141,0.112182514479887,7.33008610863245,4.15243010659845,0.000846769461737854,0.584755138196896,-0.632028396243233
"2","GB40280",7.74109909003537,7.29369772060144,7.20785987143248,8.04494704961772,8.2666784433059,8.09040229659332,7.74283595543075,6.50428817353665,6.7093043402583,7.43307534889858,7.60837447438078,6.87935580446044,0.0820319518817039,7.2811512255961,3.5982882441084,0.00262572263918903,0.584755138196896,-1.75013882478651
"3","GB40553",1.09861228866811,0,0,0.693147180559945,0,0,1.38629436111989,1.09861228866811,1.09861228866811,1.6094379124341,1.09861228866811,2.30258509299405,-1.46082534014471,4.49514240900344,-4.09812783828261,0.000945356198251929,0.584755138196896,-3.57464864914019
"4","GB40603",4.67282883446191,4.21950770517611,4.33073334028633,5.09375020080676,5.48479693349065,5.53338948872752,5.41164605185504,5.15905529921453,4.92725368515721,5.79909265446053,5.39816270151775,5.30826769740121,-0.13512832021588,6.7748554075234,-3.63206618268184,0.00244982813948859,0.584755138196896,-1.64756910935221
"5","GB41347",4.84418708645859,4.26267987704132,4.12713438504509,4.8283137373023,5.13579843705026,5.43372200355424,5.29831736654804,4.70953020131233,4.84418708645859,5.6937321388027,5.16478597392351,5.29330482472449,-0.126748196377413,6.73829662564562,-3.69396084594359,0.00215767791152315,0.584755138196896,-1.49668586663121
"6","GB41507",3.68887945411394,3.25809653802148,3.68887945411394,3.91202300542815,3.87120101090789,4.29045944114839,4.18965474202643,4.36944785246702,4.23410650459726,5.17614973257383,4.29045944114839,4.34380542185368,-0.219509540853595,6.48923329206992,-3.67283196341223,0.00225324155855366,0.584755138196896,-1.3287689774566
"7","GB41708",8.14293601043227,5.4249500174814,5.17048399503815,6.16541785423142,8.07620452723903,5.78996017089725,4.76217393479776,5.29831736654804,4.55387689160054,3.68887945411394,5.4553211153577,3.17805383034795,0.474525398467438,6.83006139990694,3.59904100780331,0.00262166773083456,0.584755138196896,-1.64976457793079
"8","GB42197",1.09861228866811,0.693147180559945,1.09861228866811,1.38629436111989,1.38629436111989,1.09861228866811,1.94591014905531,1.94591014905531,1.94591014905531,2.70805020110221,1.79175946922805,2.77258872223978,-0.742361893038126,5.33971047752808,-3.9764104267152,0.00121094250099245,0.584755138196896,-2.43446557579848
"9","GB42607",6.51174532964473,5.75574221358691,5.71373280550937,7.27793857294566,7.35564110297425,6.96413561241824,5.95324333428778,5.56452040732269,5.43372200355424,5.8805329864007,5.92958914338989,5.33271879326537,0.161769410788307,7.01549326523311,3.91452165670972,0.00137387940688714,0.584755138196896,-1.16450786378115
"10","GB43462",4.39444915467244,2.99573227355399,4.20469261939097,3.87120101090789,4.38202663467388,4.46590811865458,4.91265488573605,4.36944785246702,4.24849524204936,4.91998092582813,4.63472898822964,4.55387689160054,-0.195833216965343,6.5552021232326,-3.70731508236198,0.00209939386737282,0.584755138196896,-1.3076415511908
"11","GB43611",1.94591014905531,1.09861228866811,1.6094379124341,2.07944154167984,1.6094379124341,2.89037175789616,2.89037175789616,2.39789527279837,2.484906649788,3.17805383034795,2.77258872223978,3.40119738166216,-0.538775482613659,5.76477687731629,-3.92324831499841,0.00134962262237004,0.584755138196896,-1.59297731263532
"12","GB44090",4.29045944114839,2.77258872223978,4.02535169073515,3.91202300542815,3.87120101090789,4.40671924726425,5.11799381241676,4.82028156560504,4.55387689160054,5.01063529409626,4.24849524204936,4.71849887129509,-0.279516359737053,6.54546766781049,-3.79649401428526,0.00174881291461692,0.584755138196896,-1.11881253844762
