"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40022",220,99,310,192,227,256,103,193,138,52,80,214,0.816748538116532,4.3158433627895,3.40915830578582,0.00456346688663403,0.999384536735855,-3.84601937442791
"2","GB40157",9303,4743,11983,10940,23957,14778,5444,13358,8827,3192,7342,10118,0.63090005513547,10.1873058803546,3.40814715691687,0.00457240804333293,0.999384536735855,-4.19116081783903
"3","GB40392",144,42,262,188,261,195,98,112,133,26,56,101,1.05703453668432,3.83385925703693,3.35035087224397,0.00511392244288195,0.999384536735855,-3.94932515324974
"4","GB40536",26,10,66,27,37,18,10,17,16,2,6,13,1.44170590164991,1.01784549055588,3.38118366567155,0.0048174570784904,0.999384536735855,-4.36072399642935
"5","GB40615",244,56,259,337,512,269,136,162,166,56,109,128,1.02853543797359,4.42837663431915,3.6555745901759,0.00283562029367592,0.999384536735855,-3.76428238030856
"6","GB41302",215,84,272,179,406,528,67,336,118,53,83,225,0.994824462338663,4.43509729374251,3.28810432188534,0.00576953308004011,0.999384536735855,-3.87492148036091
"7","GB41312",560,327,681,659,925,894,430,719,592,201,464,601,0.466520879309433,6.13303954392689,3.25905141729548,0.006103794256524,0.999384536735855,-3.8661219930835
"8","GB41655",722,346,614,507,614,681,253,645,327,191,255,621,0.753660688223053,5.82242820597521,3.83711956986226,0.0020013660670447,0.999384536735855,-3.6668384910167
"9","GB41670",742,171,999,1100,1718,534,334,645,300,60,218,394,1.3836288586858,5.79813611966185,3.48040949964083,0.00397584650568439,0.999384536735855,-3.79328485477944
"10","GB42282",43,25,40,41,64,40,23,40,22,8,23,38,0.762200335053468,1.99601747039819,4.07104121033961,0.00128217288619569,0.999384536735855,-4.15778835310272
"11","GB42822",432,91,675,563,182,299,109,115,89,45,64,194,1.77677908256175,4.4381040679713,3.75782581569973,0.00232971220694912,0.999384536735855,-3.78215290446202
"12","GB43091",1627,375,1196,641,840,1114,194,388,673,141,585,872,1.16587565254983,6.23268134132346,3.4154601772961,0.00450813788967391,0.999384536735855,-3.83848704096362
"13","GB43310",681,310,1092,1271,2063,2111,175,474,785,31,213,630,1.93838751133469,6.05051754224037,3.6673302302299,0.00277218298229139,0.999384536735855,-3.77930785569456
"14","GB43516",93,41,175,170,454,294,84,97,23,17,27,199,1.64458677177409,3.53421496224109,3.30998538565914,0.00552996503831754,0.999384536735855,-4.03518526494627
"15","GB43877",628,136,859,677,1003,1291,283,757,143,86,145,427,1.39939648540046,5.62982132589505,3.37331633606375,0.00489141880077522,0.999384536735855,-3.81847521585326
"16","GB44202",2595,1080,1358,1187,4005,2140,2244,3465,3170,2147,3779,3107,-0.691672539087953,8.21862625556484,-3.53026122304962,0.00361071068764948,0.999384536735855,-4.00971108011773
"17","GB45000",438,124,415,396,523,479,98,504,184,52,139,361,1.0388848653777,4.99532927499245,3.51136548768787,0.00374494364606032,0.999384536735855,-3.76010106003468
"18","GB45170",1305,562,822,1121,751,948,334,968,356,195,486,790,1.02337339754182,6.34726919495777,4.28053819737843,0.000864194305916457,0.999384536735855,-3.61410608123443
"19","GB45499",2047,568,1611,1506,3395,1987,424,2188,742,258,376,1303,1.31526233404806,7.06700209320201,4.06715749355688,0.0012916366037165,0.999384536735855,-3.76550801842201
"20","GB46177",916,390,1194,1100,916,1212,290,966,689,158,468,841,0.946524118480914,6.3966915963078,3.6034956407239,0.00313487102407605,0.999384536735855,-3.79562063164841
"21","GB46412",19,6,30,24,35,37,5,9,14,1,8,31,1.39931408965455,0.800053687605472,3.31479961167943,0.0054786109281859,0.999384536735855,-4.3841735933341
"22","GB46516",456,128,202,302,562,351,154,193,222,117,142,160,0.937974241106772,4.81954816473623,4.42384858784968,0.000661532885138126,0.999384536735855,-3.50545771689633
"23","GB47141",47,23,39,54,70,34,16,42,24,12,26,33,0.792365093888474,2.0355491672042,3.89279316481018,0.00179938546579114,0.999384536735855,-4.17240200468691
"24","GB47303",3668,973,8019,5810,3587,3535,1332,2701,1468,815,1610,1975,1.22171587707515,8.24053241505382,3.66330378671809,0.00279374705732047,0.999384536735855,-3.9862003105961
"25","GB47567",203,103,221,191,274,280,120,201,161,89,153,221,0.443061598966501,4.49024898936705,3.49216601040323,0.00388650565917656,0.999384536735855,-3.78597217495063
"26","GB47840",113,51,217,158,214,260,33,69,135,22,58,121,1.30130064228538,3.61551554909046,4.00385741119722,0.00145639423118044,0.999384536735855,-3.85224760551636
"27","GB47975",273,57,167,418,327,234,93,83,125,82,98,134,1.16688841600894,4.22537550108731,3.53961452637994,0.00354607745250217,0.999384536735855,-3.83190227348168
"28","GB48080",11,6,34,18,35,58,0,6,6,2,1,28,2.58965478072168,0.181541275971046,3.72855490355848,0.00246436174063261,0.999384536735855,-4.40615588311775
"29","GB48853",852,333,987,753,1800,1293,445,971,692,245,531,860,0.63737910275136,6.5125623594462,3.6427150240863,0.0029067048536034,0.999384536735855,-3.79480304471695
"30","GB49018",163,118,160,132,168,226,53,162,58,30,44,198,1.05714439373972,3.77578980347281,3.52976168836142,0.00361419591574334,0.999384536735855,-3.91909189946284
"31","GB49381",30,25,21,21,56,45,34,64,60,24,78,71,-0.729494840874672,2.36393555005979,-3.69652398176376,0.00262080720109979,0.999384536735855,-4.1437884975917
"32","GB49689",116,24,68,50,187,92,57,57,27,7,10,51,1.53138442389894,2.52092167427242,3.71445357394856,0.00253203036459795,0.999384536735855,-4.12891221003111
"33","GB50116",8749,3308,13857,9297,12548,12619,2071,4101,11668,933,3147,7237,1.38830833690472,9.52323261756141,3.2589399883139,0.00610511296032711,0.999384536735855,-4.17225036429719
"34","GB50262",311,103,200,195,246,253,110,208,123,41,101,196,0.820644532432905,4.31175187106518,4.2119494156059,0.000982869158753912,0.999384536735855,-3.63039997600086
"35","GB50447",580,163,459,493,755,413,204,525,258,83,202,498,0.79617192177619,5.39902986201767,3.27523939223058,0.00591522086827234,0.999384536735855,-3.8231626308328
"36","GB50466",17,2,16,23,25,17,4,5,2,2,5,14,1.61924523293218,0.0765226496089902,3.66924176570079,0.00276200479978822,0.999384536735855,-4.41075680689953
"37","GB50693",74,10,112,119,171,83,13,20,22,5,13,58,2.13421593613039,2.19138528120706,4.23620979522349,0.000939084801977519,0.999384536735855,-4.138529720204
"38","GB50905",216,80,253,241,246,198,83,207,119,26,82,209,0.897189677249987,4.15263600844188,3.30975287460732,0.0055324574728814,0.999384536735855,-3.90517180483978
"39","GB51227",27,8,65,31,65,30,15,18,17,6,6,20,1.37525952679336,1.36423282355646,3.53487206137183,0.00357870121494341,0.999384536735855,-4.30913161004441
"40","GB52103",44,18,59,49,60,69,12,21,48,7,16,49,1.14707112869724,1.99779871179961,3.45747913863965,0.00415611455482808,0.999384536735855,-4.23847913761261
"41","GB52115",2262,1195,3018,2713,4057,3146,1292,3112,2187,748,2053,2532,0.531148140907943,8.10893796566783,3.29516554631161,0.00569110487998798,0.999384536735855,-4.05081653620308
"42","GB52186",11196,1613,27322,22167,12584,9948,957,1109,1299,178,134,4442,3.87094350751175,8.47391901133799,4.56870044915667,0.000506135182069598,0.999384536735855,-3.88829078230447
"43","GB52293",241,126,219,222,332,277,154,254,172,91,200,243,0.372185438859287,4.68569030690966,3.84854343812343,0.0019581128424545,0.999384536735855,-3.65572716934057
"44","GB53104",1615,705,2305,1483,2904,1925,662,2157,1344,344,1039,1385,0.787033328654308,7.37022972177478,3.6005918091203,0.00315247036866731,0.999384536735855,-3.90855370073322
"45","GB54272",16,1,3,4,19,5,23,16,16,11,20,44,-1.62164329023928,0.485619899418242,-3.57617191288305,0.00330449265532899,0.999384536735855,-4.39130527449589
"46","GB54732",170,73,248,202,335,293,94,204,159,92,110,177,0.628652674632806,4.38682344146969,3.29849387940602,0.00565450940248949,0.999384536735855,-3.86259985096164
"47","GB54794",9,5,13,15,20,13,3,17,4,4,3,4,1.21049330503958,0.021532853891974,3.44123995926052,0.00428875027335544,0.999384536735855,-4.42640354939743
"48","GB55143",110,38,133,36,154,66,27,12,39,6,32,48,1.79765191775173,2.42995133406637,4.10432875703649,0.00120392056904252,0.999384536735855,-4.1000591832591
"49","GB55443",498,267,526,435,629,611,264,478,399,202,385,512,0.438695764791309,5.72558355442245,3.72247617928293,0.0024933034398344,0.999384536735855,-3.68771904747465
"50","GB55650",2616,1113,1452,1455,4217,2407,1880,3528,3622,1733,4160,4231,-0.598720485614697,8.29588691339407,-3.43260984092476,0.00436096760147405,0.999384536735855,-4.03724628111151
