"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40624",206,120,388,135,189,270,609,92,351,375,706,347,-0.726055892256819,5.09220155458174,-2.92425294862063,0.0116882175316516,0.99974273987508,-3.95931465299105
"2","GB40839",47,27,46,23,28,34,21,6,20,29,39,30,0.618083004994789,1.78862824983759,2.96393822756816,0.0108251866547068,0.99974273987508,-4.32972662810452
"3","GB40907",238,120,338,76,268,194,267,132,271,245,702,499,-0.636816514161837,4.93146747726145,-2.85870566587068,0.013264802887263,0.99974273987508,-3.9849666146329
"4","GB41240",431,141,497,184,375,470,629,272,558,628,1856,633,-0.929603553870288,5.85544137124429,-3.93697622494306,0.00165759318293732,0.99974273987508,-3.67322517431068
"5","GB41279",38,29,49,21,24,28,52,20,40,56,67,75,-0.614733238679583,2.30628679808184,-3.34986679177896,0.00512635500997738,0.99974273987508,-4.2123928315673
"6","GB41467",332,184,582,147,173,406,457,221,409,438,740,365,-0.550214785023083,5.41717060515419,-3.14700905188838,0.00759448804036887,0.99974273987508,-3.87984236952574
"7","GB41545",4452,4555,11379,4910,4525,4445,4190,1445,4173,4112,3560,4333,0.729260596356314,9.09913462167676,2.86412302514548,0.013126918867797,0.99974273987508,-4.23174202497801
"8","GB41647",37,18,74,22,34,51,53,43,57,52,120,59,-0.640942924340027,2.58099297809834,-2.99885380025146,0.0101182354126591,0.99974273987508,-4.23448491480866
"9","GB42346",27,26,96,30,39,49,18,17,16,27,44,37,0.770632779747521,2.02586651483322,3.03288275508699,0.00947333259069356,0.99974273987508,-4.29513295127946
"10","GB42802",1339,1732,5323,1163,587,1876,538,499,726,1451,812,1104,1.04411136144645,7.17310365475434,3.01348790204283,0.00983572360379423,0.99974273987508,-4.06035684896561
"11","GB43206",27,14,64,11,32,37,52,29,50,49,111,48,-0.839223095326592,2.26552748046062,-3.61431472985552,0.00307566324211098,0.99974273987508,-4.18432882132259
"12","GB43246",386,153,312,135,178,388,481,190,470,436,647,399,-0.725260266503074,5.32477432164463,-3.90092394318646,0.00177545937582654,0.99974273987508,-3.6478186210036
"13","GB43417",47,37,65,32,37,54,33,16,36,41,41,35,0.515938843943161,2.29394549245534,3.13835455316407,0.00772291969349274,0.99974273987508,-4.24508774698761
"14","GB43462",79,49,147,43,72,105,145,51,90,136,215,111,-0.505584439451993,3.58191077343265,-3.26515105641514,0.00604049296906556,0.99974273987508,-4.01795267335312
"15","GB43515",23,14,190,68,25,78,28,7,13,21,28,10,1.59737796822176,1.80609828680069,2.81678173441247,0.0143811608965808,0.99974273987508,-4.35735410431961
"16","GB44214",398,346,558,182,277,606,634,252,347,668,894,808,-0.499873273831533,5.84400631594585,-3.32367668935145,0.00539305030075076,0.99974273987508,-3.84218122755901
"17","GB44475",17,7,21,3,8,17,18,11,12,25,33,21,-0.69425559356901,0.875327823000362,-2.81503232095302,0.0144296994206731,0.99974273987508,-4.42409772215464
"18","GB44976",347,173,480,151,203,294,362,247,311,320,697,383,-0.453836591469099,5.28895861134732,-2.86640516321903,0.0130692567795767,0.99974273987508,-3.97350973338134
"19","GB45184",369,484,1018,286,478,668,350,151,490,377,425,512,0.555464944727401,5.77471817431344,2.79384343897897,0.0150305266930028,0.99974273987508,-4.01399106458788
"20","GB45366",36,23,59,14,37,43,25,10,22,27,38,35,0.492198867518671,1.86660062667048,2.9232413985061,0.0117110821537823,0.99974273987508,-4.32601085499854
"21","GB45437",135,126,405,83,210,197,87,63,139,128,112,159,0.754464270264252,4.1360308061153,3.20879685582716,0.00673748465601169,0.99974273987508,-3.94081478220254
"22","GB47120",17,9,11,7,10,18,33,13,35,38,28,23,-1.1123847442259,1.20918058491907,-3.77032933334874,0.0022789892313472,0.99974273987508,-4.31014394567484
