"","ID","S1.1","S1.2","S1.3","S2.1","S2.2","S2.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10311",0.802444419,0.802444419,0.802444419,4.118869227,4.36465844,2.485804332,-1.62450543519158,3.10681143564263,-11.3862654536384,2.24117954773719e-05,0.186580926812917,1.49142491226481
"2","23712",0.802444419,0.802444419,0.802444419,2.902131009,2.634493029,2.815709867,-1.29349162671563,2.95280989452473,-11.0203636894781,2.71961584201077e-05,0.186580926812917,0.0430363777067058
"3","2935",0.802444419,0.802444419,0.802444419,3.070193613,3.198162033,2.485804332,-1.35451849826257,2.9789668586397,-11.5878481393007,2.01947056461066e-05,0.186580926812917,0.317048497259897
"4","30487",0.802444419,0.802444419,0.802444419,3.353473394,3.131044685,2.485804332,-1.38231345327087,2.9929224191864,-11.6702174681225,1.93624751023603e-05,0.186580926812917,0.44740844048964
"5","36604",3.928861976,3.100206401,2.652548323,0.802444419,0.802444419,0.802444419,1.53168810045866,3.03740081938803,11.4972195661184,2.11585484041435e-05,0.186580926812917,0.830496879916375
"6","55165",2.57615938,3.100206401,2.841576602,0.802444419,0.802444419,0.802444419,1.38839373912744,2.96376826580431,11.0378736009953,2.69419138251341e-05,0.186580926812917,0.122286439554943
"7","63496",0.802444419,0.802444419,0.802444419,2.708883726,2.731821462,2.815709867,-1.28090019503391,2.94610126057646,-10.9667369907485,2.79922285180318e-05,0.186580926812917,-0.0125843525661713
"8","63905",0.802444419,0.802444419,0.802444419,2.708883726,2.906502055,3.077327899,-1.34157151404607,2.97701928825791,-11.8674969966414,1.75253812543732e-05,0.186580926812917,0.330332358094347
"9","67696",0.802444419,0.802444419,0.802444419,3.788031682,3.131044685,3.077327899,-1.51427986434048,3.06207556462279,-15.0724895050924,4.179708998694e-06,0.186580926812917,1.48407475983854
"10","67771",0.802444419,0.802444419,0.802444419,3.219282553,2.731821462,3.077327899,-1.3855234770878,2.99985416528047,-12.4231418616725,1.33421163033802e-05,0.186580926812917,0.592023864379903
"11","70419",0.802444419,0.802444419,0.802444419,2.902131009,2.985693771,2.815709867,-1.34767590464703,2.97834551261227,-12.4732039896786,1.30255727473169e-05,0.186580926812917,0.401194933642413
"12","12683",0.802444419,0.802444419,0.802444419,3.070193613,2.634493029,2.485804332,-1.26963442437042,2.93920413934526,-10.2062398867613,4.27571908253931e-05,0.197629648844659,-0.155295554393617
"13","23654",0.802444419,0.802444419,0.802444419,3.963154457,2.906502055,2.485804332,-1.42073671006267,3.01289086876427,-10.3188071835174,4.00875596523311e-05,0.197629648844659,0.435892000117978
"14","52958",0.802444419,0.802444419,0.802444419,2.708883726,2.822146858,2.485804332,-1.24757719831157,2.92752962751658,-10.336118120434,3.96943114431093e-05,0.197629648844659,-0.217462758316615
"15","54421",0.802444419,0.802444419,0.802444419,3.219282553,2.634493029,2.485804332,-1.28941185187413,2.94904114584765,-10.1765087794048,4.34961570075621e-05,0.197629648844659,-0.0902907417181584
"16","61845",0.802444419,0.802444419,0.802444419,2.708883726,3.323111951,2.485804332,-1.31956142303835,2.96130156029206,-10.6704800645794,3.2906629113042e-05,0.197629648844659,0.0655572100588184
"17","66927",0.802444419,0.802444419,0.802444419,2.480108018,2.731821462,2.815709867,-1.24532037256276,2.92831677883949,-10.0865857517079,4.58224772280307e-05,0.197629648844659,-0.244177525662413
"18","50118",0.802444419,0.802444419,0.802444419,4.118869227,2.822146858,2.485804332,-1.42438885766644,3.01510765844972,-9.761464975095,5.55176668614493e-05,0.226141963015637,0.355934524373168
"19","2278",0.802444419,0.802444419,0.802444419,2.480108018,2.634493029,2.485804332,-1.18236178536685,2.89576452430396,-9.33636574771474,7.19842132538202e-05,0.277783290303689,-0.545583341419054
"20","11420",0.802444419,0.802444419,0.802444419,2.480108018,2.906502055,2.024570893,-1.14731576263684,2.8754274445713,-7.948419829212,0.000181891887533225,0.281428405201296,-0.885265396908615
"21","11730",0.802444419,0.802444419,0.802444419,3.219282553,2.906502055,2.024570893,-1.25564498782022,2.92870406611499,-8.44876325003681,0.000128277293809382,0.281428405201296,-0.507975919010063
"22","1371",0.802444419,0.802444419,0.802444419,2.480108018,3.131044685,2.024570893,-1.1798595100368,2.89077637915643,-7.91182736901953,0.000186732863362675,0.281428405201296,-0.819872170626414
