"","ID","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","12494",5.553342477,5.274493826,5.343497585,0.802444419,0.802444419,0.802444419,2.18335477675155,3.38916917582307,66.8152653389823,5.05198306565079e-10,1.84178679932931e-05,12.5939806913775
"2","15837",5.058658307,5.227754945,5.521175422,0.802444419,0.802444419,0.802444419,2.15423596934455,3.37391801128711,62.5970198803596,7.53595253408064e-10,1.84178679932931e-05,12.3100705552487
"3","22195",5.17215966,5.243504132,4.967301182,0.802444419,0.802444419,0.802444419,2.11844138594306,3.35623577331761,66.6156028808115,5.14556108768581e-10,1.84178679932931e-05,12.3726648075641
"4","24086",4.485384761,4.849451928,4.697669934,0.802444419,0.802444419,0.802444419,1.998903806094,3.29595290171314,56.9590613681803,1.34414369006216e-09,2.46381538388394e-05,11.5281028289111
"5","28851",6.845776884,6.512323679,7.416352527,0.802444419,0.802444419,0.802444419,2.51596348589899,3.55539999550548,52.6446898863122,2.17826520544933e-09,3.02738558269623e-05,12.3306491005309
"6","31672",7.037296373,6.931642161,7.873937955,0.802444419,0.802444419,0.802444419,2.58384053924192,3.58906513889281,51.5507200142416,2.47740227716549e-09,3.02738558269623e-05,12.2930057550058
"7","28965",4.485384761,5.112392179,4.769986034,0.802444419,0.802444419,0.802444419,2.02940821348412,3.31081271031699,49.2978978514476,3.25762639511171e-09,3.13167775419371e-05,11.1777945127041
"8","62062",0.802444419,0.802444419,0.802444419,4.315904794,4.361443707,4.143559112,-1.86480551069703,3.23752985567401,-48.9150518775788,3.41699700403024e-09,3.13167775419371e-05,10.6749206147686
"9","38733",4.651633371,5.392173091,5.343497585,0.802444419,0.802444419,0.802444419,2.1186078974223,3.35523638754482,45.8345806350689,5.08957932374291e-09,4.14631062240923e-05,11.1297146343392
"10","29387",4.08008541,4.24211383,3.930005221,0.802444419,0.802444419,0.802444419,1.82267495900476,3.20816160686692,42.9177740723225,7.61272203606262e-09,5.04405955908186e-05,10.0650934703232
"11","42863",0.802444419,0.802444419,0.802444419,3.919421798,4.055990971,4.005527029,-1.777572032824,3.19401247315429,-42.9430975568846,7.58527961022666e-09,5.04405955908186e-05,9.95482833164335
"12","66974",5.058658307,5.112392179,4.455765278,0.802444419,0.802444419,0.802444419,2.05022657874284,3.32220280504376,42.3533296427523,8.25541662697522e-09,5.04405955908186e-05,10.6735168664022
