"","ID","N.1","N.2","N.3","P.1","P.2","P.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","14006",1.94591014905531,1.38629436111989,1.6094379124341,0.693147180559945,0,0,1.61043945846819,2.96886876822358,3.38465429496001,0.0103506188393346,0.99983083925923,-4.52877271633004
"2","15511",1.38629436111989,1.6094379124341,1.6094379124341,0,0,0,1.95638915674914,2.72415463494154,4.9646878750089,0.0012850851223829,0.99983083925923,-4.50773755550119
"3","16478",4.65396035015752,4.23410650459726,4.24849524204936,3.66356164612965,3.49650756146648,3.36729582998647,0.217972526793726,4.85663047851861,3.63213696427247,0.0072883938920398,0.99983083925923,-2.62777397933393
"4","17503",1.09861228866811,1.38629436111989,1.38629436111989,0,0,0,1.76918999570896,2.63059757900259,4.32850031204262,0.00284809801606897,0.99983083925923,-4.51898947890552
"5","17655",1.09861228866811,1.09861228866811,1.38629436111989,0,0,0,1.68811564770301,2.5908084547744,4.08467852503855,0.00392552433969209,0.99983083925923,-4.52376299376719
"6","18773",1.6094379124341,1.38629436111989,1.38629436111989,0,0,0,1.90493418072134,2.69727066908616,4.84362817829443,0.00148843303550982,0.99983083925923,-4.5101947197076
"7","19780",1.09861228866811,1.38629436111989,1.6094379124341,2.19722457733622,2.484906649788,2.19722457733622,-0.660519828138258,3.89758772999585,-3.3739305249703,0.0105111160876668,0.99983083925923,-4.30673905434268
"8","21707",5.06259503302697,5.37063802812766,5.13579843705026,5.40267738187228,5.35185813347607,5.3890717298165,-0.113153287360111,5.24464261020299,-3.95630156944173,0.00466451838512478,0.99983083925923,-1.74901195031986
"9","22832",2.07944154167984,2.30258509299405,2.19722457733622,1.09861228866811,1.09861228866811,0.693147180559945,0.825525249556279,3.69489341552929,3.45655223463839,0.00933974986177303,0.99983083925923,-4.40295303235972
"10","23694",0,0,0,0.693147180559945,1.09861228866811,1.79175946922805,-1.7726444490847,2.56728391104915,-3.47569399132471,0.00908874540283352,0.99983083925923,-4.53384227897851
"11","24053",0,0,0,0.693147180559945,1.09861228866811,1.6094379124341,-1.73318247507413,2.54735107613212,-3.57537788542242,0.00789303213821351,0.99983083925923,-4.53292684079826
"12","24798",1.6094379124341,2.07944154167984,1.38629436111989,0,0.693147180559945,0,1.64192666717647,2.98164999216352,3.40304750926304,0.0100813805983244,0.99983083925923,-4.52800950551015
"13","25064",0.693147180559945,1.38629436111989,1.38629436111989,0,0,0,1.62656601085267,2.56025623450494,3.40172075791599,0.0101005496759367,0.99983083925923,-4.53535915542379
"14","25071",5.46383180502561,5.62762111369064,5.51342874616498,5.6970934865054,5.68357976733868,5.59471137960184,-0.0944980284825512,5.32050035517317,-3.86572982763668,0.0052758497724909,0.99983083925923,-1.82955934151912
"15","27855",1.09861228866811,1.09861228866811,1.09861228866811,0,0,0,1.61147432851934,2.5510193305462,3.98779826315306,0.00447023190434466,0.99983083925923,-4.52668558657327
"16","2843",5.99893656194668,6.3261494731551,5.71702770140622,6.46614472423762,6.26720054854136,7.03614849375054,-0.185638718950221,5.47598389836423,-3.93661708256123,0.0047905627857319,0.99983083925923,-1.72775551876573
"17","29517",0,0,0,0.693147180559945,1.09861228866811,1.09861228866811,-1.60110003574216,2.48067798604855,-3.65224128962259,0.00708629948959031,0.99983083925923,-4.53435974504027
"18","29908",1.38629436111989,1.09861228866811,0.693147180559945,0,0,0,1.55644893079481,2.52046711027675,3.437523112511,0.0095966206946854,0.99983083925923,-4.53619001839054
"19","30970",1.09861228866811,1.09861228866811,1.09861228866811,0,0,0,1.61147432851934,2.5510193305462,3.98779826315306,0.00447023190434466,0.99983083925923,-4.52668558657327
"20","32334",0.693147180559945,1.09861228866811,0.693147180559945,2.19722457733622,1.94591014905531,1.79175946922805,-0.973697684835025,3.56338708996576,-3.59712566443918,0.00765523752071975,0.99983083925923,-4.43106242686986
"21","32826",1.6094379124341,1.09861228866811,0.693147180559945,0,0,0,1.61111825298892,2.54735107613212,3.37574704073346,0.0104837439734254,0.99983083925923,-4.53626903931966
"22","33089",0,0,0,1.38629436111989,0.693147180559945,1.09861228866811,-1.67913135402237,2.52046711027675,-3.6478626278245,0.0071297974091953,0.99983083925923,-4.53282263682653
"23","33248",1.09861228866811,1.6094379124341,0.693147180559945,0,0,0,1.61174982507975,2.54735107613212,3.37995481821306,0.0104206301327689,0.99983083925923,-4.5361956130246
"24","34014",1.09861228866811,1.38629436111989,1.6094379124341,2.30258509299405,2.30258509299405,2.484906649788,-0.696077809545403,3.91601523948655,-3.63865794943444,0.00722217399209777,0.99983083925923,-4.27917500072055
"25","34598",1.6094379124341,1.09861228866811,1.09861228866811,0,0,0,1.74700968839146,2.61769242062978,4.09692008663883,0.00386198045931623,0.99983083925923,-4.52250785197241
"26","36643",9.60649561075857,9.79868243817,9.60157132005652,9.56899335829854,9.6484662623239,9.59838800604728,-0.0560808000491262,6.05414213659413,-3.40528143848383,0.0100491919868348,0.99983083925923,-2.45853115871571
"27","37330",4.75359019110636,4.83628190695148,4.77068462446567,4.91265488573605,5.03695260241363,4.85203026391962,-0.105179402447928,5.13471658333108,-3.7260309091009,0.00639456125679189,0.99983083925923,-2.05050570644925
"28","40737",3.43398720448515,3.3322045101752,2.89037175789616,1.79175946922805,1.79175946922805,2.39789527279837,0.523382699323299,4.31319712525296,3.68618693530524,0.00675858820067028,0.99983083925923,-3.88218673845724
"29","41795",3.61091791264422,3.8286413964891,3.55534806148941,2.484906649788,2.30258509299405,1.94591014905531,0.541045790862608,4.46727862018511,5.15348219876784,0.00102622248284301,0.99983083925923,-3.3681374780953
"30","4198",5.0998664278242,5.13579843705026,5.00394630594546,5.25749537202778,5.24702407216049,5.17614973257383,-0.102597436311667,5.21155060690334,-4.25732079008226,0.00312490142189563,0.99983083925923,-1.44891999767372
"31","42568",1.38629436111989,1.09861228866811,1.09861228866811,0,0,0,1.69229707210793,2.5908084547744,4.13784640079278,0.00365750454797771,0.99983083925923,-4.52306394050065
"32","44092",1.79175946922805,1.6094379124341,1.79175946922805,2.70805020110221,2.39789527279837,2.77258872223978,-0.551459856686318,4.1120933508565,-3.67743067146262,0.00684153417917465,0.99983083925923,-4.09568950719768
"33","44461",3.09104245335832,3.52636052461616,2.39789527279837,3.76120011569356,3.85014760171006,3.78418963391826,-0.36375073337091,4.66264779229526,-3.75620578621698,0.00613291148794518,0.99983083925923,-3.05493416087733
"34","44634",0,0,0,1.38629436111989,1.09861228866811,0.693147180559945,-1.68185427181828,2.52046711027675,-3.67731162489411,0.00684266938116119,0.99983083925923,-4.53237383927265
"35","45013",7.06219163228656,7.24494154633701,7.28961052145117,7.33367639565768,7.38461038317697,7.25559127425367,-0.0889185357077071,5.66887190968083,-3.6611445937093,0.00699872899740117,0.99983083925923,-2.05966290491546
"36","45860",1.09861228866811,1.38629436111989,0.693147180559945,0,0,0,1.55681915473621,2.52046711027675,3.4402779961955,0.00955897120349894,0.99983083925923,-4.53614391977259
"37","4587",3.46573590279973,3.43398720448515,3.09104245335832,3.8286413964891,3.66356164612965,3.73766961828337,-0.210947802715801,4.72310714912931,-3.57287615439442,0.00792088969324166,0.99983083925923,-2.93321389718552
"38","49322",3.87120101090789,3.3322045101752,3.2188758248682,2.19722457733622,2.484906649788,1.79175946922805,0.520795512663939,4.40705727989919,3.68435588867652,0.00677584355551753,0.99983083925923,-3.74854381547776
"39","49499",4.29045944114839,4.35670882668959,4.27666611901606,4.46590811865458,4.49980967033027,4.53259949315326,-0.121705768350836,5.00617288753463,-3.73204033850717,0.00634151104066485,0.99983083925923,-2.18083696891172
"40","49737",1.38629436111989,0.693147180559945,1.38629436111989,0,0,0,1.62550953898601,2.56025623450494,3.39152752999616,0.0102491237980108,0.99983083925923,-4.53553703893357
"41","51422",3.40119738166216,3.13549421592915,3.04452243772342,1.79175946922805,2.30258509299405,2.19722457733622,0.448217829644837,4.34033415779165,3.7146960862104,0.00649592600460515,0.99983083925923,-3.81350188166589
"42","52471",3.85014760171006,3.89182029811063,3.76120011569356,3.17805383034795,3.13549421592915,2.99573227355399,0.201653270229093,4.69491461745636,3.46223223899479,0.00926450541838591,0.99983083925923,-3.10603332101012
"43","52928",1.38629436111989,1.09861228866811,1.09861228866811,0,0,0,1.69229707210793,2.5908084547744,4.13784640079278,0.00365750454797771,0.99983083925923,-4.52306394050065
"44","54094",0,0,0,1.79175946922805,0.693147180559945,1.09861228866811,-1.77265514811651,2.56728391104915,-3.46931844731803,0.00917153833873475,0.99983083925923,-4.53395054573808
"45","55918",1.94591014905531,1.38629436111989,1.38629436111989,0,0,0,1.97772285206095,2.73285613278095,4.67565794600163,0.00183133819508771,0.99983083925923,-4.51039686986235
"46","6230",0,0,0,0.693147180559945,1.09861228866811,1.09861228866811,-1.60110003574216,2.48067798604855,-3.65224128962259,0.00708629948959031,0.99983083925923,-4.53435974504027
"47","6608",1.09861228866811,1.09861228866811,1.38629436111989,0,0,0,1.68811564770301,2.5908084547744,4.08467852503855,0.00392552433969209,0.99983083925923,-4.52376299376719
"48","6614",1.09861228866811,1.38629436111989,0.693147180559945,0,0,0,1.55681915473621,2.52046711027675,3.4402779961955,0.00955897120349894,0.99983083925923,-4.53614391977259
