"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40087",10,14,21,28,13,11,6,6,11,11,8,6,0.98977044755953,0.801167415021104,3.04092711058555,0.0088445874218951,0.916202099363577,-4.43351769405831
"2","GB40678",11,17,14,45,29,18,3,6,12,16,20,9,1.1302788286185,1.12520349318204,3.02049126825258,0.00920979849191996,0.916202099363577,-4.41572904112007
"3","GB41230",11,9,5,16,10,9,6,4,4,7,7,5,0.908143092240534,0.234938591839225,3.16124288805881,0.00696764428844385,0.916202099363577,-4.45420624819486
"4","GB41723",107,122,71,84,97,51,100,129,180,245,136,86,-0.604533678748989,4.06335770155678,-3.15519171357498,0.00705180563364674,0.916202099363577,-4.04891549761628
"5","GB42556",424,736,202,455,778,156,703,443,1431,1022,748,598,-0.90153312570232,6.39479001975121,-3.01910391350422,0.00923512560472666,0.916202099363577,-3.99057637403919
"6","GB42769",370,437,335,384,487,184,936,437,1118,1235,488,309,-0.818108745014627,6.21491059199085,-3.07760158986636,0.00822475458106027,0.916202099363577,-3.95656723146801
"7","GB42787",341,384,150,401,388,208,333,402,612,729,830,274,-0.632949933042767,5.86529575190127,-4.05211772886901,0.00119851361500566,0.916202099363577,-3.63401418664529
"8","GB42984",241,378,453,623,292,405,66,467,33,154,20,205,2.36701374351213,4.86145737518982,3.49077746008027,0.00362235156075746,0.916202099363577,-3.90899083853396
"9","GB43075",137,171,96,134,133,116,145,189,249,292,196,110,-0.455477177623487,4.58473006173006,-3.11124822487002,0.00769405085864778,0.916202099363577,-3.97275583881046
"10","GB43591",22,27,10,47,29,48,4,9,24,19,24,13,1.09681423282062,1.58297534034392,2.992050759377,0.00974298214173629,0.916202099363577,-4.3858797506364
"11","GB44320",11,8,9,17,19,15,5,2,9,9,9,3,1.18821523442234,0.4292109550275,3.84899814486698,0.00178454254753705,0.916202099363577,-4.40316471439015
"12","GB44330",193,214,191,225,256,165,72,171,103,113,164,130,0.922036188842218,4.60123080999947,3.55031549881787,0.00321905392167438,0.916202099363577,-3.84767619419995
"13","GB44968",11,19,15,37,23,13,7,6,6,18,13,11,1.0414663825409,1.05727740107127,3.07853497829342,0.00820955421934228,0.916202099363577,-4.41445348849192
"14","GB45029",178,402,123,250,201,216,88,83,168,203,206,141,0.722464503449864,4.73368122956617,3.31291661019558,0.00515600212128842,0.916202099363577,-3.89145056940549
"15","GB45054",7,12,11,27,16,25,5,4,8,6,9,10,1.21734423064022,0.685016038288351,3.08739644897201,0.00806662373168838,0.916202099363577,-4.43739576463388
