"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40253",3214,3187,2166,2897,4851,3366,5174,2370,656,1128,2102,1058,0.880070521937769,8.46287483617959,3.55501107362081,0.00322452874137216,0.990542003509399,-4.06667943674543
"2","GB40388",241,221,200,233,289,242,282,275,96,115,223,141,0.321613946754198,4.96268760372201,2.75750315914387,0.0155570573221635,0.990542003509399,-4.04597920876533
"3","GB41202",67,73,106,104,119,111,106,117,17,25,54,35,0.804920690537474,3.36178251662965,3.11306684723119,0.00772735538803086,0.990542003509399,-4.1778470510805
"4","GB41333",68,54,49,115,148,152,244,182,72,71,128,175,-0.654898217676539,4.05422354624729,-2.89050384102786,0.0119852863413847,0.990542003509399,-4.12086667973245
"5","GB41876",7,8,5,22,19,31,47,35,9,17,29,24,-0.993866879255034,1.4493905727801,-2.99979215270174,0.00966433351926246,0.990542003509399,-4.39527659334602
"6","GB42154",25,18,31,30,26,56,27,16,12,9,13,12,0.936193362927592,1.67037308676277,3.36468715144975,0.00469729960012686,0.990542003509399,-4.34074620666571
"7","GB42675",63,54,46,59,75,105,133,123,32,71,168,79,-0.596848867939869,3.55344499925121,-2.78421651837726,0.0147647481616051,0.990542003509399,-4.21641275493223
"8","GB42798",1083,297,773,512,1659,1200,619,736,269,348,332,152,1.03073289198257,6.36329853837897,2.85996166958169,0.0127266570543243,0.990542003509399,-4.04995882814288
"9","GB42960",89,56,116,103,125,146,198,201,70,88,153,162,-0.530263915306275,4.17661229659306,-2.80990377561849,0.0140401246195157,0.990542003509399,-4.12203858551552
"10","GB43110",29,24,23,38,38,46,68,65,31,25,63,56,-0.679986216837131,2.60874150535677,-3.82367223762847,0.0019004094420634,0.990542003509399,-4.17281800798123
"11","GB43611",6,2,4,7,4,23,17,17,10,11,15,29,-1.39785728713032,0.618765205262134,-3.19650471190495,0.00655199732785303,0.990542003509399,-4.43491117844275
"12","GB43612",2,3,4,4,14,21,23,20,7,12,15,14,-1.30748629709045,0.551553678693719,-3.24489428419626,0.00595380368825926,0.990542003509399,-4.43475194296981
"13","GB43684",36,26,10,28,43,45,22,13,11,9,26,15,0.845312079574174,1.69868648723749,2.92037455979307,0.0113013240661279,0.990542003509399,-4.3842881700515
"14","GB43798",42,10,30,42,54,74,105,81,40,35,95,49,-0.865466623460679,2.87379998489759,-2.90111850007313,0.0117376991664821,0.990542003509399,-4.27776299407782
"15","GB44525",5,4,2,6,6,14,18,12,6,5,12,17,-1.01207962630749,0.298888806062537,-2.99086035266104,0.00983607730021389,0.990542003509399,-4.46318522268761
"16","GB44973",15,14,10,12,15,30,12,5,5,8,12,5,0.928969243257361,0.756412922516778,2.91182682042214,0.0114930244510183,0.990542003509399,-4.44628617353495
"17","GB45002",9,5,2,6,7,30,23,25,8,10,29,13,-1.21946477987821,0.791823359579687,-3.07881162264418,0.00826852494107904,0.990542003509399,-4.43225525753814
"18","GB46250",40,27,33,52,57,45,67,110,33,48,67,72,-0.670149338681644,2.96937286827509,-3.1925254617514,0.00660377694409062,0.990542003509399,-4.21508810897966
"19","GB46281",10,12,22,4,16,12,3,2,2,5,12,2,1.4674349856468,0.0710691218385266,2.83219111533972,0.0134396931986115,0.990542003509399,-4.47880458388355
"20","GB46294",53,34,19,78,184,42,68,14,1,3,16,46,1.84153874617094,1.99074718432805,2.8483375838241,0.0130204861379894,0.990542003509399,-4.38275179559572
"21","GB46853",140,153,132,142,164,171,177,137,81,59,126,81,0.414487931978353,4.26046895506185,3.01709772383044,0.00933996515139408,0.990542003509399,-4.04958992309812
"22","GB47482",149,114,117,182,199,199,218,314,139,165,212,254,-0.514900672315035,4.80068505288843,-3.03089679374638,0.00908905506200753,0.990542003509399,-3.97241353076118
"23","GB47581",27,34,26,60,44,68,92,71,51,56,50,116,-0.797803146290405,3.03508030981989,-2.75201205289942,0.0157249890486794,0.990542003509399,-4.28670905119576
"24","GB48034",71,21,45,76,61,132,132,152,76,69,97,97,-0.816263295117204,3.56894879845415,-2.92604025219971,0.0111759972416298,0.990542003509399,-4.18577272463012
"25","GB48037",12,6,8,10,16,15,10,7,1,4,6,7,0.912366391868473,0.256191071955213,2.90870627462338,0.0115638032380196,0.990542003509399,-4.46865927747126
"26","GB48136",20,15,10,21,33,37,53,38,23,18,36,32,-0.661168977810311,1.99999390976854,-3.03179499854876,0.00907295602385498,0.990542003509399,-4.34505674733252
"27","GB48269",14,3,9,16,24,37,28,33,19,30,40,37,-1.13332388008067,1.67293116387487,-2.83341710717649,0.0134074043783063,0.990542003509399,-4.39850988910707
"28","GB48619",28,29,29,31,48,56,77,53,30,33,61,64,-0.584035902863866,2.7128256624101,-3.04045394693057,0.00891919682052805,0.990542003509399,-4.27127324155335
"29","GB49022",94,44,96,115,189,273,289,289,103,131,284,171,-0.833547691927815,4.53295233779639,-3.16025266518893,0.00703906198967584,0.990542003509399,-3.97779741520492
"30","GB49346",123,55,104,146,147,218,272,225,92,116,287,161,-0.636133036280312,4.5013860228563,-3.02379132039367,0.00921741057952007,0.990542003509399,-4.01567163240996
"31","GB49601",120,60,70,151,153,200,242,263,85,111,161,172,-0.554102274573997,4.38852725154589,-2.74192254776325,0.0160381716223578,0.990542003509399,-4.11380358703583
"32","GB50162",57,38,34,66,67,74,102,100,44,46,85,73,-0.488807055426993,3.26043474344872,-3.25057147549844,0.00588729441387505,0.990542003509399,-4.16194325859255
"33","GB50245",26,23,31,26,41,32,61,57,21,48,48,32,-0.609081079941014,2.45098168037831,-2.92796671784128,0.011133695731048,0.990542003509399,-4.31616439123467
"34","GB50572",46,58,12,28,30,18,15,12,10,9,17,13,1.07090814162864,1.56159406839892,2.80579028690949,0.0141537788784676,0.990542003509399,-4.40832327744214
"35","GB50682",9,8,9,15,16,63,36,25,34,24,43,53,-1.18519705790281,1.82755734134348,-2.76944388987488,0.0151978975057815,0.990542003509399,-4.39516979929688
"36","GB51018",5,2,2,7,8,9,11,12,7,10,12,10,-1.042067944773,0.203214080246577,-3.19806977619516,0.00653174309998976,0.990542003509399,-4.45440830393321
"37","GB51041",21,18,33,30,32,101,72,67,30,38,83,85,-0.905956038964001,2.7638545148934,-2.78145676255168,0.0148447406130905,0.990542003509399,-4.31003770875795
"38","GB51052",4,6,5,9,7,11,26,15,7,7,13,9,-0.880790093457502,0.508090816881328,-3.27016346631693,0.00566341823140591,0.990542003509399,-4.43328242765697
"39","GB51134",62,33,24,68,55,160,129,128,52,69,110,123,-0.845913138380823,3.50396253344884,-2.93014159402821,0.0110861290261475,0.990542003509399,-4.19416735552432
"40","GB52157",69,47,65,93,112,130,148,145,71,80,141,82,-0.460492518560576,3.84183040778485,-2.76927820741912,0.0152028251758003,0.990542003509399,-4.18012933600211
"41","GB52173",28,36,42,42,65,67,106,119,33,32,71,66,-0.638682728587769,3.0400935562794,-2.98578208211269,0.00993506456867256,0.990542003509399,-4.24169954742003
"42","GB52433",277,266,214,234,311,219,296,222,94,123,240,151,0.409533959463577,5.00976717395762,2.92394424781362,0.0112222012351762,0.990542003509399,-3.98804624501019
"43","GB53183",9,9,6,8,7,11,2,0,3,5,2,4,1.64869284980472,-0.467918475222664,2.82058779927465,0.0137490848565941,0.990542003509399,-4.48986617961541
"44","GB53446",4,4,12,8,5,8,17,15,7,8,19,8,-0.952953911188163,0.471580145464381,-2.94661672846881,0.0107322440957658,0.990542003509399,-4.45768532407594
"45","GB54055",13,15,6,17,17,29,37,28,12,21,31,28,-0.804891129038419,1.59024438568477,-3.12623711687912,0.00752877931312408,0.990542003509399,-4.37060324989515
"46","GB54532",12,5,6,19,10,34,41,26,21,26,18,60,-1.30157851217049,1.54713614587693,-2.96539838089382,0.0103423817798078,0.990542003509399,-4.39476618655759
"47","GB54718",58,46,40,53,67,75,135,102,41,36,81,75,-0.487902331275937,3.27582394237229,-3.04948258464561,0.00876161963721379,0.990542003509399,-4.19792923611311
"48","GB54770",4,2,7,3,4,10,19,18,5,14,12,10,-1.45239324638621,0.267248606374865,-4.01595263722146,0.00130520685166694,0.990542003509399,-4.40573087037479
"49","GB55053",256,243,157,280,286,198,251,233,98,97,211,153,0.398393029790325,4.90041075593905,2.83103603060279,0.0134701842399128,0.990542003509399,-4.02712021373138
"50","GB55569",35,18,34,64,61,130,124,97,52,38,114,100,-0.843135467094732,3.25651607584756,-2.7502310310963,0.0157798359116447,0.990542003509399,-4.26239458600873
