"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41303",178,188,191,242,112,261,121,239,222,86,144,132,0.363102009914504,4.68847079883474,2.86452446263207,0.0126198254857592,0.983780065949085,-4.03238146937358
"2","GB41467",258,284,268,314,278,388,355,443,494,375,603,335,-0.532132871856888,5.77015627498792,-2.86547614837887,0.0125962606337391,0.983780065949085,-3.99458115141891
"3","GB42749",995,958,1204,1270,470,1162,530,1055,1422,322,891,535,0.475013464337288,6.98564163757545,2.89160709906969,0.0119658436291087,0.983780065949085,-4.08155427567018
"4","GB42768",57,65,22,60,17,44,20,19,32,16,14,28,0.994593964491412,2.15711945221908,2.83626984870761,0.0133394863533503,0.983780065949085,-4.35918503639184
"5","GB42793",2586,2930,2871,2644,1285,3344,998,3067,3113,872,2422,801,0.690358521157936,8.26205105402399,2.97370746689514,0.0101803639001841,0.983780065949085,-4.16050228337597
"6","GB43571",1451,3783,1009,1025,639,773,125,1483,379,519,466,80,1.88547100221815,6.59737907872916,3.03173125769534,0.00907969315813647,0.983780065949085,-4.02390714547803
"7","GB43580",643,733,838,837,512,1343,865,1755,1808,863,1153,766,-0.52906542744609,7.17642349052856,-3.10957437334299,0.0077859985543945,0.983780065949085,-4.03849670332558
"8","GB44427",70,72,86,118,64,92,93,162,135,81,117,111,-0.434706083245604,3.89792712268616,-2.92475752156369,0.0112105505206447,0.983780065949085,-4.13250842587067
"9","GB44501",1641,2239,1723,2052,1352,2312,714,1730,2308,799,1938,743,0.637806507889649,7.85360622096107,3.27861992787115,0.00557361847387425,0.983780065949085,-4.05909304719708
"10","GB44560",1327,1802,1310,1352,965,2060,637,1573,1851,640,1339,671,0.52824596146593,7.5295004063661,2.85891897468839,0.012759504339094,0.983780065949085,-4.13569281416243
"11","GB44739",7,14,14,23,6,19,17,35,26,13,27,22,-0.763684289860264,1.39904455875394,-2.97538164619987,0.0101468325575537,0.983780065949085,-4.40178218991303
"12","GB45291",23,19,15,29,14,27,1,15,22,8,11,10,1.1647737061049,1.07839380782805,2.92660057041557,0.0111699641064327,0.983780065949085,-4.42900548783827
"13","GB45314",126,141,123,169,104,149,145,245,239,99,218,161,-0.399197426556118,4.56454688280796,-3.32374347254051,0.00509763942127918,0.983780065949085,-3.91112418753583
"14","GB45442",9,8,9,7,5,8,10,18,24,7,20,13,-0.89185883577442,0.738592840501551,-3.8472051508149,0.00181675202663501,0.983780065949085,-4.38223826418071
"15","GB46054",78,68,132,135,87,98,64,206,438,128,323,175,-0.96895685252076,4.37202880934964,-3.36157297947293,0.00473010758826461,0.983780065949085,-3.95198302580652
"16","GB46057",73,26,86,127,33,83,23,48,60,13,40,44,0.884089893356934,2.8367003534544,3.01052659309606,0.00946757517677427,0.983780065949085,-4.26530632214686
"17","GB46190",383,268,329,466,208,375,216,394,325,162,270,206,0.394152666871514,5.46424159757058,3.30732663297322,0.00526591069058492,0.983780065949085,-3.83979036501296
"18","GB46218",344,245,516,544,282,479,388,665,853,279,635,506,-0.425925781686884,6.10393590736585,-2.96064641622795,0.0104457383025182,0.983780065949085,-3.98024386788106
"19","GB46333",505,349,390,507,196,386,209,426,438,126,315,238,0.476382974490917,5.60300381952443,3.26470512483545,0.0057291771826091,0.983780065949085,-3.85701196807311
"20","GB46613",34,27,53,52,41,37,39,81,78,46,79,89,-0.703293979750376,2.98522020155344,-3.07711290851381,0.00830163238240351,0.983780065949085,-4.23457320088185
"21","GB46712",25,20,24,25,23,29,20,42,51,27,70,43,-0.685152149200854,2.26348690757491,-2.86799869058214,0.0125340082940846,0.983780065949085,-4.34413561752984
"22","GB46926",39,63,48,55,40,57,65,108,125,58,71,44,-0.573899557548805,3.22790182500403,-2.84307223899984,0.0131626324173991,0.983780065949085,-4.24635628850919
"23","GB46978",146,90,160,196,108,178,101,171,112,47,93,104,0.549355922303239,4.18302006080887,2.92549496596141,0.0111942936085264,0.983780065949085,-4.08533590270709
