"","ID","S1.1","S1.2","S1.3","S3.1","S3.2","S3.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10055",3.189934035,1.806181881,3.380640935,0.802444419,0.802444419,0.802444419,1.29928370120074,2.93778252304569,6.87409480292792,0.000465906512495106,0.959719198009123,-3.98009113963542
"2","10332",0.802444419,0.802444419,0.802444419,2.138459829,1.960025921,2.134442499,-0.973428170330586,2.77952768174732,-6.74445793516376,0.00051635222293056,0.959719198009123,-4.18176852344546
"3","10886",0.802444419,0.802444419,0.802444419,2.138459829,1.960025921,2.134442499,-0.973428170330586,2.77952768174732,-6.74445793516376,0.00051635222293056,0.959719198009123,-4.18176852344546
"4","11114",0.802444419,0.802444419,0.802444419,1.488107454,2.400776787,2.134442499,-0.915567359563942,2.75110526242754,-5.0990898576056,0.00221905601997928,0.959719198009123,-4.23431385957639
"5","12993",3.189934035,1.806181881,1.925188497,0.802444419,0.802444419,0.802444419,1.07571209931208,2.8247495120393,5.58038197078685,0.0014029604411263,0.959719198009123,-4.17428385629874
"6","13703",3.928861976,1.806181881,2.161653477,0.802444419,0.802444419,0.802444419,1.20316924384603,2.89101065944816,5.57455939821624,0.00141052377021674,0.959719198009123,-4.10022447981588
"7","14304",0.802444419,0.802444419,0.802444419,2.284122113,1.960025921,2.134442499,-1.0001736116134,2.79244876032829,-6.97820516896594,0.000429467667392902,0.959719198009123,-4.16740478246514
"8","1666",0.802444419,0.802444419,0.802444419,2.412894115,2.400776787,2.134442499,-1.100552533557,2.84294818334033,-8.0987820878677,0.0001894187911476,0.959719198009123,-4.10327729596091
"9","18813",0.802444419,0.802444419,0.802444419,1.488107454,2.400776787,2.134442499,-0.915567359563942,2.75110526242754,-5.0990898576056,0.00221905601997928,0.959719198009123,-4.23431385957639
"10","19988",0.802444419,0.802444419,0.802444419,1.763406798,1.960025921,2.134442499,-0.899122248522383,2.74266099548932,-5.85420711263004,0.00109442016350881,0.959719198009123,-4.21693812739852
"11","20643",2.57615938,1.806181881,1.606099385,0.802444419,0.802444419,0.802444419,0.924860839980381,2.7470848221422,5.08943278001282,0.00224023828108637,0.959719198009123,-4.23749388098668
"12","21242",2.57615938,1.806181881,1.606099385,0.802444419,0.802444419,0.802444419,0.924860839980381,2.7470848221422,5.08943278001282,0.00224023828108637,0.959719198009123,-4.23749388098668
"13","22035",2.57615938,1.806181881,2.440040652,0.802444419,0.802444419,0.802444419,1.08314295165973,2.82729525312168,6.66958920210645,0.000548332756279441,0.959719198009123,-4.14389057929149
"14","22491",0.802444419,0.802444419,0.802444419,1.969199029,1.960025921,2.134442499,-0.940695633110597,2.76358553353407,-6.39063421988105,0.000689237919897442,0.959719198009123,-4.19763189451152
"15","31989",0.802444419,0.802444419,0.802444419,1.488107454,2.400776787,2.134442499,-0.915567359563942,2.75110526242754,-5.0990898576056,0.00221905601997928,0.959719198009123,-4.23431385957639
"16","32201",3.189934035,2.195941712,1.606099385,0.802444419,0.802444419,0.802444419,1.08414249803746,2.82837611863665,5.45196532026713,0.00158108283373711,0.959719198009123,-4.17531822964987
"17","32462",0.802444419,0.802444419,0.802444419,2.138459829,2.400776787,3.255648587,-1.21619856947262,2.90441604087553,-7.81538752779813,0.000230802718677307,0.959719198009123,-4.02057288515957
"18","33548",3.189934035,2.480108018,1.606099385,0.802444419,0.802444419,0.802444419,1.13267969608544,2.85247200516783,5.77782844771286,0.00117190219722673,0.959719198009123,-4.14085203288485
"19","35063",0.802444419,0.802444419,0.802444419,1.488107454,2.717845277,2.629277496,-1.04030620048383,2.81743652598324,-5.24525333327904,0.00192468958716647,0.959719198009123,-4.19110964284834
"20","35668",3.189934035,2.195941712,1.925188497,0.802444419,0.802444419,0.802444419,1.1511759749117,2.86229667983211,6.60334576210521,0.000578535966376821,0.959719198009123,-4.10711138881267
"21","36511",2.57615938,2.902131009,1.780646184,0.802444419,0.802444419,0.802444419,1.1513473764034,2.85971841016656,6.81983765996861,0.000486297759910178,0.959719198009123,-4.10540696933739
"22","40095",0.802444419,0.802444419,0.802444419,2.906502055,2.717845277,2.134442499,-1.22865153848884,2.9055304318189,-9.04145356734516,0.00010219484628311,0.959719198009123,-4.00111556624791
"23","40676",0.802444419,0.802444419,0.802444419,2.138459829,1.960025921,2.134442499,-0.973428170330586,2.77952768174732,-6.74445793516376,0.00051635222293056,0.959719198009123,-4.18176852344546
"24","40811",2.57615938,2.708883726,1.374338448,0.802444419,0.802444419,0.802444419,1.02794865196089,2.79848035244851,4.98459233627583,0.00248559065720613,0.959719198009123,-4.21545962779962
"25","41153",3.60822179,3.353473394,1.606099385,0.802444419,0.802444419,0.802444419,1.30841758438471,2.94009098031338,6.01253211808019,0.0009517239437341,0.959719198009123,-4.00289390201652
"26","42128",0.802444419,0.802444419,0.802444419,1.763406798,1.960025921,2.629277496,-0.97857458808375,2.78404964677651,-5.82114933035934,0.00112721413348587,0.959719198009123,-4.1987575778986
"27","4560",2.57615938,1.806181881,2.050358216,0.802444419,0.802444419,0.802444419,1.01479514963703,2.79310588558026,6.14851771466933,0.000845964136964785,0.959719198009123,-4.18408351177356
"28","46842",2.57615938,2.195941712,1.606099385,0.802444419,0.802444419,0.802444419,0.998924704825086,2.784631989935,5.67725550272948,0.0012836689602988,0.959719198009123,-4.20260364536772
"29","47823",2.57615938,2.480108018,1.780646184,0.802444419,0.802444419,0.802444419,1.08636311601186,2.82787273129741,6.68296487485808,0.000542456089404888,0.959719198009123,-4.14306058688472
"30","48387",0.802444419,0.802444419,0.802444419,2.138459829,1.960025921,2.979755932,-1.10439734747312,2.846442419909,-6.82163402478508,0.000485606442486997,0.959719198009123,-4.12031933446565
"31","48980",2.57615938,2.195941712,1.925188497,0.802444419,0.802444419,0.802444419,1.06690609868576,2.81855255113047,6.88731537456776,0.000461087821585132,0.959719198009123,-4.147462584279
"32","5068",0.802444419,0.802444419,0.802444419,1.763406798,1.960025921,2.134442499,-0.899122248522383,2.74266099548932,-5.85420711263004,0.00109442016350881,0.959719198009123,-4.21693812739852
"33","50872",2.57615938,2.195941712,1.606099385,0.802444419,0.802444419,0.802444419,0.998924704825086,2.784631989935,5.67725550272948,0.0012836689602988,0.959719198009123,-4.20260364536772
